ticker,company_name,country,sector,pref_balanced,ESG_composite,E_score,S_score,G_score,market_cap,profitability_score,debt_to_equity,log_dollar_volume,price_to_book
EMAMILTD.NS,EMAMI LIMITED,India,Consumer Defensive,66.972846128059,62.66862841836324,1.6691301032081114,0.1169211327327894,0.0693508820998123,1871159594.7079704,0.3960035610246302,2.457,15.005010911068013,5.93262
EME,"EMCOR Group, Inc.",US,Industrials,59.84579282601408,50.78126448924946,0.6232495166250258,-0.3568142603179297,-0.4752692914867011,33856421888.0,0.8033025133369028,12.913,19.67304668089213,9.164718
ENDURANCE.NS,ENDURANCE TECHNO. LTD.,India,Consumer Cyclical,52.923231645993965,44.69929776220988,-0.6371706774622827,-0.2448128723338666,-0.0937841141233933,3381536706.9807467,0.0942848858306052,19.638,15.077060909728225,5.0229344
ENSG,"The Ensign Group, Inc.",US,Healthcare,34.17029835735836,36.020311162437075,-1.422294347477736,-0.6916895287367317,-0.2034856413849654,11426134016.0,-0.2599731371716341,98.701,18.20233758496556,5.079045
ESAB,ESAB Corporation,US,Industrials,28.333892054978207,50.42566924349503,0.1405353997405246,-0.1740535690311448,-0.0708742487139912,5988915200.0,0.0054693840352659,60.826,17.368280658329684,2.757625
ESTC,Elastic N.V.,US,Technology,24.954743546765,41.61111062953445,-0.5602939847732694,-0.4339012510340877,-0.3709570544449227,5339239424.0,-1.5513511665870667,74.802,18.22868666933474,6.6714945
EVRG,"Evergy, Inc.",US,Utilities,51.34428427757292,45.2227035761492,-0.925458275046082,0.5940551546464402,0.2626950022547352,19076737024.0,0.1786975697453426,149.917,18.96043538798871,1.866186
EWBC,"East West Bancorp, Inc.",US,Financial Services,74.73684210526316,64.51790744089098,1.1749227930644557,0.4581375488772252,0.6348776916486085,14999494656.0,0.3271722375308052,132.9965,18.42145637735386,1.6849607
EXAS,Exact Sciences Corporation,US,Healthcare,35.16929265839758,42.38279039522298,-1.0542676271579925,-0.4467734760812356,0.1196750082863626,20026083328.0,-1.5825964942769777,105.572,19.57762843936173,8.336778
EXIDEIND.NS,EXIDE INDUSTRIES LTD,India,Consumer Cyclical,41.5420717398592,42.60168040289213,-1.213745872629881,-0.1848510038582317,-0.0359607389020365,2740376702.3340864,-0.032706332811881,11.151,16.338235172073098,1.732181
FINEORG.NS,FINE ORGANIC IND. LTD.,India,Basic Materials,53.87864565873283,49.533419103310926,-0.0605954822946841,-0.2235304862063689,0.1056538919372001,1439472122.878348,-0.0712961132433788,1.1622750000000002,14.1849549451304,5.402819
FIVE,"Five Below, Inc.",US,Consumer Cyclical,61.56218571907475,52.60826509267563,-0.55480279243834,0.2450799099905668,0.3639240121578545,13002574848.0,-0.0178207795241285,92.655,19.782309619441385,5.927278
FIX,"Comfort Systems USA, Inc.",US,Industrials,44.41837076768354,28.476167361973573,-1.7098687149833962,-0.4250246602848548,-0.837942991610468,49987055616.0,1.299952497152196,45.489,19.825380815406792,20.324839
FLO,"Flowers Foods, Inc.",US,Consumer Defensive,41.26382836071069,56.06817558093256,0.2853496348058749,-0.0253284409189219,0.4993685727718542,1743207552.0,-0.4427109671057231,111.007,16.889916511603086,1.2243685
FMC,FMC Corporation,US,Basic Materials,38.26349312772377,65.21601822025127,1.5118823227078575,0.2200203234994169,-0.4946641590451132,2219549440.0,-1.8536403834070845,200.048,17.674292719619796,1.0705024
FNB,F.N.B. Corporation,US,Financial Services,59.074756956084485,48.82645750017174,-1.0984308335963613,-0.2059997843278399,0.2868425032267755,6025579008.0,-0.0690487074013086,132.9965,18.14105136844845,0.8912619
FOXF,Fox Factory Holding Corp.,US,Consumer Cyclical,10.878310425745893,33.995676746633364,-1.2961137576538238,-0.5125133119672004,-0.7739425886770825,703209600.0,-1.84504073104052,116.464,16.200166044789807,1.046033
FROG,JFrog Ltd.,US,Technology,20.97888032182367,33.01967826758428,-1.329060911663401,-0.6397657593964416,-0.8362828205921647,6054419968.0,-2.085362139581513,1.404,18.13491810512768,6.821674
FRPT,"Freshpet, Inc.",US,Consumer Defensive,46.06771706335904,51.16210465920251,-0.5449186462354669,0.3380888732892952,0.1798877378986001,2913996288.0,-0.2037852420174558,40.953,17.973897632562515,2.4066122
FTNT,"Fortinet, Inc.",US,Technology,64.21052631578948,54.00556063297397,1.438500025141072,0.0945798744976937,-0.5057015077166671,61373280256.0,1.9526397714586243,85.802,19.94133895547144,31.54903395
GABRIEL.NS,GABRIEL INDIA LTD,India,Consumer Cyclical,37.492457257794165,36.53966570991368,-1.7079531827735368,-0.5137469905522548,-0.1321217496067619,1341109350.543186,-0.0572693099287887,8.126,15.328760458422757,9.75533
GALAXYSURF.NS,GALAXY SURFACTANTS LTD,India,Basic Materials,32.00804559168622,34.273736680419475,-1.318577726296717,-0.4315483536663457,-0.077968875101698,638582128.4285253,-0.5033570101916941,10.558,13.691105243473858,2.3425183
GFF,Griffon Corporation,US,Industrials,46.5471002346631,60.42435361592623,1.105963633509527,0.3436132707503372,-0.2881405216032496,3326684416.0,0.7487559124174735,588.2596750000002,17.13331977125135,30.547476
GGG,Graco Inc.,US,Industrials,81.23365739188736,64.64032585041647,1.6691301032081114,0.5322530104152841,-0.5582369532361382,14029153280.0,1.1317243062416245,1.944,18.055051708927508,5.2657127
GLENMARK.NS,GLENMARK PHARMACEUTICALS,India,Healthcare,48.36071069393229,46.12791901203897,-0.0237928102627098,-0.3115475396887037,-0.261205931337221,6327941724.685383,0.0878191878641872,12.776,16.754614329488806,6.1372457
GLOB,Globant S.A.,US,Technology,20.010056989607776,39.02781733907996,-0.6371706774622827,-0.4873101583748559,-0.6099481887106823,2107969920.0,-0.4885310778982364,24.23,17.658116978944637,1.0018845
GMED,"Globus Medical, Inc.",US,Healthcare,61.12638283607107,46.69947566842574,0.0498125338012389,0.2350077757449909,-0.8606262872765511,11891448832.0,0.4957052892505531,2.612,18.512916057880624,2.5964208
GNRC,Generac Holdlings Inc.,US,Industrials,27.36842105263158,48.871403246711374,1.1864159863236103,-0.5733133953826449,-1.3129155487943385,11389990912.0,-0.6208063580468276,52.479,19.064101499982225,4.326282
GODREJCP.NS,GODREJ CONSUMER PRODUCTS,India,Consumer Defensive,60.41568890378813,61.90087413454568,1.2539959626874406,0.7182838073505612,-0.2806747940780071,10948398199.505217,0.0692797009621914,33.818,16.473812335304434,8.366415
GODREJPROP.NS,GODREJ PROPERTIES LTD,India,Real Estate,32.12202480724103,33.79565282360552,-1.57410536960963,-0.7780024861162725,0.042002505347188,4887619473.636657,-0.43506773998588,87.886,16.496771461664505,2.481299
GRANULES.NS,GRANULES INDIA LIMITED,India,Healthcare,41.47502514247402,42.69352140445466,-0.3918195305824535,-0.4758619809987993,-0.2779673405556837,1626125657.7390556,0.0661071139487104,45.369,16.27358734361044,3.7187386
GRINDWELL.NS,GRINDWELL NORTON LIMITED,India,Industrials,43.73784780422393,48.57897965111767,0.2209877525546083,-0.331754349428934,-0.3136693459398568,1668481390.5560937,0.2972433951074238,3.481,13.771690886559137,6.8005085
GRMN,Garmin Ltd.,US,Technology,68.31713040563193,48.686099920959286,0.8234864836289669,0.2092487738973074,-1.0256815263729704,45743067136.0,1.0414638128055629,2.184,19.179515752451817,5.1017556
HAPPSTMNDS.NS,HAPPIEST MINDS TECHNO LTD,India,Technology,27.16392893060677,38.35160424672773,-1.2521842189743877,-0.2837543738591211,-0.612259859947672,633355796.321394,-0.2087302984174295,28.275,15.145137518951724,3.6044364
HBAN,Huntington Bancshares Incorpora,US,Financial Services,44.23734495474354,43.89146827695279,-1.1972722956250923,0.0232353063116994,-0.3141301251953359,32166119424.0,-0.1626636269717898,132.9965,19.72528533775215,1.145448
HIW,"Highwoods Properties, Inc.",US,Real Estate,48.36741535367081,59.16188345689392,0.3718359140810148,1.00818134909354,-0.0054020362667671,2406656512.0,0.4194824191158166,149.2,16.913384571555067,1.0012615
HLNE,Hamilton Lane Incorporated,US,Financial Services,49.51726449882669,44.12236392847666,0.1865081727771437,0.6956089010417054,-1.1779281624000344,5256154112.0,1.6911111397679026,27.949,17.65173345580611,4.718229
HLX,"Helix Energy Solutions Group, I",US,Energy,15.900100569896075,31.46684989950169,-1.5596909897304403,-0.4420510878134436,0.1034595175490833,1415515392.0,-0.8926762158907694,39.86,16.641484124849573,0.89528596
HOLX,"Hologic, Inc.",US,Healthcare,66.81193429433456,56.186971433263686,1.0802873506965214,0.3583619894778038,-0.4463965923957366,16888477696.0,0.3989016703013679,48.051,19.008716857232788,3.2172325
HONASA.NS,HONASA CONSUMER LIMITED,India,Consumer Defensive,45.809587663426086,47.72909565054498,0.4237276816460987,-0.6220882807895196,-0.1574399700539445,1061313383.6721524,-0.1447371218411501,11.184,15.232352766589663,7.7330236
HONAUT.NS,HONEYWELL AUTOMATION IND,India,Industrials,30.20784445189407,39.72118440053298,-0.6639881284003104,-0.5107702229685146,-0.3611680931542733,2569416878.9071746,0.1040777430316631,2.215,16.00719595222287,5.6992497
HRL,Hormel Foods Corporation,US,Consumer Defensive,33.315454240697285,39.98535094669163,-1.3751869272768087,0.2770728554773159,-0.568607099420705,12155779072.0,-0.6600064403576841,4.244,18.12326565138831,1.5310507
HRMY,"Harmony Biosciences Holdings, I",US,Healthcare,59.09487093530003,54.933806001013686,0.7122606303767779,0.947301919075364,-1.027151864360646,1604498688.0,1.040619581454544,19.449,16.733830465163777,1.8401327
HUBS,"HubSpot, Inc.",US,Technology,50.593362386858864,54.608824890240086,1.2847466397630456,-0.205031372853946,0.0494770084846897,12904027136.0,-0.9758844793679896,12.695,19.13072012742171,6.223166
HXL,Hexcel Corporation,US,Industrials,31.09621186724774,39.586016148898445,-1.1467022452848117,-0.1870926679093301,-0.0626894775197407,6305581056.0,-0.4198490846315167,81.45,18.257089012163178,4.794214
IART,Integra LifeSciences Holdings C,US,Healthcare,20.955414012738856,47.487887036139824,-0.6862409068382483,-0.4888700325282918,0.599718812444968,742741568.0,-1.5877656766593644,195.006,16.12521819068177,0.71135324
IBKR,"Interactive Brokers Group, Inc.",US,Financial Services,71.22024807241033,51.71573377918431,1.6691301032081114,1.1653086276000262,-1.2280779261867325,115170893824.0,0.4711964716622395,124.331,19.705100181798908,5.6262455
IIFL.NS,IIFL FINANCE LIMITED,India,Financial Services,57.57291317465639,50.359849209474135,1.076081331035725,-0.3033803514031025,-0.1512572532448876,1987324216.585996,0.1834350471935565,401.134,16.151131144161685,1.422948
ILMN,"Illumina, Inc.",US,Healthcare,69.48374120013409,56.76353712509375,1.1538926947604702,0.0715370915630859,-0.0927006831537493,19476402176.0,1.1009352230703593,93.757,19.405662272038168,7.1573853
INCY,Incyte Corporation,US,Healthcare,84.9145155883339,56.09858079462015,-0.244608842454556,1.1937291946304132,-0.46677761635599,19091460096.0,1.4739022696393584,1.1622750000000002,19.1456178601452,3.6842308
INGR,Ingredion Incorporated,US,Consumer Defensive,57.17398592021456,50.176065802327294,-0.6832966930756905,0.2291058550380628,0.273279457500024,7163658240.0,0.2253396947565951,45.816,17.871816138807795,1.6614115
INVH,Invitation Homes Inc.,US,Real Estate,70.4994971505196,64.74610463477505,1.452914405020262,1.098598253269627,-0.5454847164749915,15662675968.0,0.3814351860437449,88.124,18.466601482734223,1.6375057
