score,horizon,quintile,mean_fwd_return,median_fwd_return,std_fwd_return,n,jt_S,jt_z,jt_pvalue,jt_direction
stability_score,3m,Q2,-6.969551955316609,-10.814500103037357,22.84259674163772,54,,,,
stability_score,3m,Q3,-6.320902129247661,-6.125263418570215,18.060479040411884,53,,,,
stability_score,3m,Q4,-5.920537987724096,-8.93235248307629,17.298817199458558,54,,,,
stability_score,3m,Q5(High),-0.03411157351943717,-1.5793180739415158,14.68323480679809,54,,,,
stability_score,3m,Q5-Q1_spread,-0.0652162064844315,,,269,2.0,0.4898979485566356,0.624206114766406,increasing
stability_score,6m,Q1(Low),-2.675567015374554,-9.143041165110832,41.41812401281646,54,,,,
stability_score,6m,Q2,-5.524540838991164,-5.749310093480325,29.429775076381365,54,,,,
stability_score,6m,Q3,-4.1003218124146725,-2.946628046469568,26.292819683000875,53,,,,
stability_score,6m,Q4,-1.9106516232513864,-6.7215083596215806,27.006198095840585,54,,,,
stability_score,6m,Q5(High),5.4969830959636035,1.8328434268478189,25.949754675761163,54,,,,
stability_score,6m,Q5-Q1_spread,8.172550111338158,,,269,6.0,1.4696938456699067,0.1416446902951367,increasing
pref_balanced,1m,Q1(Low),-5.8465936349251635,-6.652727095136907,10.796011398123698,54,,,,
pref_balanced,1m,Q2,-4.2431961825287585,-4.9601373800442605,9.059882657407892,54,,,,
pref_balanced,1m,Q3,-3.188366699626553,-3.8309313999034256,13.206325664077466,53,,,,
pref_balanced,1m,Q4,-5.159161438001713,-4.773308904516993,9.187789641608617,54,,,,
pref_balanced,1m,Q5(High),-3.32226865533565,-2.261676168384386,8.083341994873953,54,,,,
pref_balanced,1m,Q5-Q1_spread,2.5243249795895135,,,269,4.0,0.9797958971132712,0.32718687779030575,increasing
pref_balanced,3m,Q1(Low),-8.902741807667324,-15.998172228692502,30.00757111857797,54,,,,
pref_balanced,3m,Q2,-6.1089328296372285,-9.392910019456547,18.980723072176687,54,,,,
pref_balanced,3m,Q3,0.2214153201258528,-2.937125544644425,20.97561289998889,53,,,,
pref_balanced,3m,Q4,-4.426671589128826,-8.063552604620327,19.132157469923126,54,,,,
pref_balanced,3m,Q5(High),0.12408592030496932,-0.14412141697357495,16.59850067725136,54,,,,
pref_balanced,3m,Q5-Q1_spread,9.026827727972293,,,269,6.0,1.4696938456699067,0.1416446902951367,increasing
pref_balanced,6m,Q1(Low),-8.455156601612009,-24.339635274938367,43.30037150023696,54,,,,
pref_balanced,6m,Q2,-5.613242529261846,-8.89840670215752,30.579803214058803,54,,,,
pref_balanced,6m,Q3,3.5613428744587456,1.4842429811662283,31.022831024441533,53,,,,
pref_balanced,6m,Q4,-2.1530660570770928,-4.570183621167374,20.181367410561926,54,,,,
pref_balanced,6m,Q5(High),4.087906798810573,3.7747141649564164,21.244048241164954,54,,,,
pref_balanced,6m,Q5-Q1_spread,12.543063400422582,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
pref_esg_first,1m,Q1(Low),-4.38020849132677,-5.528206882876524,11.349305234036235,54,,,,
pref_esg_first,1m,Q2,-3.6711003789283385,-4.917567377413812,11.629820628979596,54,,,,
pref_esg_first,1m,Q3,-5.242057556227426,-3.229192799445968,8.949576362087145,53,,,,
pref_esg_first,1m,Q4,-4.49273032885635,-4.752570582306653,9.348001002985841,54,,,,
pref_esg_first,1m,Q5(High),-4.011521167238225,-4.904954265175121,9.667566335130697,54,,,,
pref_esg_first,1m,Q5-Q1_spread,0.3686873240885449,,,269,0.0,0.0,1.0,flat
pref_esg_first,3m,Q1(Low),-3.5788137519353005,-11.367750240741358,30.30783364012395,54,,,,
pref_esg_first,3m,Q2,-4.741933829128127,-9.23407839548008,21.937390824327355,54,,,,
pref_esg_first,3m,Q3,-4.212580466115191,-3.2642867116108865,18.07447935973432,53,,,,
pref_esg_first,3m,Q4,-5.966720706626047,-5.227442079466121,15.50029525521264,54,,,,
pref_esg_first,3m,Q5(High),-0.6749072652764307,-4.408823263524214,20.535698765317115,54,,,,
pref_esg_first,3m,Q5-Q1_spread,2.9039064866588697,,,269,0.0,0.0,1.0,flat
pref_esg_first,6m,Q1(Low),-1.3764799062466069,-14.99879624905289,44.88678200829671,54,,,,
pref_esg_first,6m,Q2,-2.3941873012082304,-6.670620259135718,35.17487089244062,54,,,,
pref_esg_first,6m,Q3,-0.05468787628656223,-0.044672815639335,22.91387175961207,53,,,,
pref_esg_first,6m,Q4,-5.819974997624418,-6.511067828940098,20.865540083647723,54,,,,
pref_esg_first,6m,Q5(High),1.0061510342629791,2.960787472489168,22.50231596223594,54,,,,
pref_esg_first,6m,Q5-Q1_spread,2.382630940509586,,,269,2.0,0.4898979485566356,0.624206114766406,increasing
pref_financial_first,1m,Q1(Low),-5.74243671331289,-7.069109871457401,11.17454755926603,54,,,,
pref_financial_first,1m,Q2,-5.686425007413846,-5.316484138371014,9.604093029799252,54,,,,
pref_financial_first,1m,Q3,-4.580946876477864,-4.765467179493498,8.018183840769217,53,,,,
pref_financial_first,1m,Q4,-2.414578020544309,-3.5004694150850666,14.119573776773588,54,,,,
pref_financial_first,1m,Q5(High),-3.3609885144624716,-2.261676168384386,6.056609752566109,54,,,,
pref_financial_first,1m,Q5-Q1_spread,2.3814481988504186,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
pref_financial_first,3m,Q1(Low),-9.627911732901838,-17.73658754943453,30.266989211069784,54,,,,
pref_financial_first,3m,Q2,-7.333954526149351,-9.694635931860336,18.25325764962771,54,,,,
pref_financial_first,3m,Q3,-3.0748236915722127,-4.124817041389372,17.310293459836313,53,,,,
pref_financial_first,3m,Q4,3.059711250238599,-3.3434659354285134,24.416246591247962,54,,,,
pref_financial_first,3m,Q5(High),-2.176907748797348,-0.7920083122485932,12.65968341368487,54,,,,
pref_financial_first,3m,Q5-Q1_spread,7.45100398410449,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
pref_financial_first,6m,Q1(Low),-11.006768852589426,-23.898483775077636,43.53450595561592,54,,,,
pref_financial_first,6m,Q2,-4.958804462584154,-8.538745760704868,30.045050942917605,54,,,,
pref_financial_first,6m,Q3,-1.7378513327442333,-4.842985478843054,24.194634325725268,53,,,,
pref_financial_first,6m,Q4,5.721273949611598,0.19238585740352085,29.642674484050882,54,,,,
pref_financial_first,6m,Q5(High),3.311801957565272,3.7747141649564164,17.471664531792285,54,,,,
pref_financial_first,6m,Q5-Q1_spread,14.318570810154698,,,269,8.0,1.9595917942265424,0.05004352124870515,increasing
