ticker,company_name,sector,country,ESG_composite,financial_score,market_score,E_score,S_score,G_score,esg_rank,fin_rank,rank_diff
SBIN.NS,SBIN.NS,Financial Services,India,50.20907162076963,53.86430505952168,56.69981311529819,52.48721343624793,43.81905430733593,55.00625970171758,31,14,17
PM,PM,Consumer Defensive,US,50.13777950799656,52.92221656935613,59.38777295079946,48.12639303319797,54.29104354821353,47.6389223483418,32,17,15
ICICIBANK.NS,ICICIBANK.NS,Financial Services,India,49.858308785613126,50.59801184755528,46.77779374130348,51.86439744713908,44.27528878041265,54.031395353233385,33,24,9
HDFCBANK.NS,HDFCBANK.NS,Financial Services,India,49.72228185579695,53.98587820703472,48.38572478512402,58.56213403972895,51.391695931198406,37.46147121990793,34,13,21
PG,PG,Consumer Defensive,US,49.32094505176655,48.22791605519221,59.9051856658489,43.32110690327752,54.31973086486508,50.48883944305548,35,29,6
WMT,WMT,Consumer Defensive,US,48.97362243702784,44.04985951266031,60.29225849641773,48.86381277408624,50.412741078421895,47.42276196216663,36,51,-15
UNH,UNH,Healthcare,US,48.84233189469133,44.73293062071186,28.759133201505023,47.20069551208244,39.395836067914125,61.77848613897513,37,49,-12
AMZN,AMZN,Consumer Cyclical,US,48.66535970534439,49.07489012642559,53.439858618058906,51.879420903718696,45.52266356240872,48.58210047399933,38,26,12
MA,MA,Financial Services,US,48.49380706101621,50.97331158171782,47.50806762886165,59.89602468355527,43.85593258339161,40.60207339194936,39,22,17
DIS,DIS,Communication Services,US,48.32179774272363,46.478828954861854,43.85339069277268,47.400023628572825,50.573091102908926,46.77069195568339,40,41,-1
ITC.NS,ITC.NS,Consumer Defensive,India,48.02439826049203,55.64428164867523,54.41783048518311,48.92600903116901,44.02782382053844,51.63518920798142,41,10,31
NESTLEIND.NS,NESTLEIND.NS,Consumer Defensive,India,47.99405763821885,40.4639508446126,53.52207892624902,48.916926442759205,45.52464468360145,49.79835914664206,42,58,-16
JNJ,JNJ,Healthcare,US,47.42620592855354,54.62151771297942,61.34976405821706,51.28655462064878,45.34653059959941,45.34875367155559,43,11,32
ABT,ABT,Healthcare,US,47.23250606995741,46.32111371010331,22.782844192195437,48.49044198540996,44.56386837241271,48.87832481573159,44,42,2
LT.NS,LT.NS,Industrials,India,47.10382949615398,53.39167849909421,46.523307072484,37.85314200477992,42.676620569267605,63.061375317457816,45,16,29
ACN,ACN,Technology,US,46.71385112961024,47.71131638834347,51.98359559591778,55.17297185374681,47.14056862609591,36.34703987221761,46,30,16
XOM,XOM,Energy,US,46.64133434099944,47.177940134028745,61.88869012949555,29.188311688878752,55.39028412474614,56.7960860207691,47,36,11
NEE,NEE,Utilities,US,46.58106073263807,46.56709315931946,45.15318036714049,38.63348863492615,58.05611759678747,42.46566183846098,48,40,8
ULTRACEMCO.NS,ULTRACEMCO.NS,Basic Materials,India,46.4378773517287,49.1934966104998,55.516486466693536,23.83083077192607,58.32255121674645,58.94731218564439,49,25,24
CMCSA,CMCSA,Communication Services,US,46.13964050276128,47.40165522779081,45.91660807153243,43.64305945134131,53.0838057651017,40.9507922566874,50,33,17
MARUTI.NS,MARUTI.NS,Consumer Cyclical,India,45.54178565824342,52.638154401247,57.10342832735032,55.24565031777228,43.532559634375374,36.56470724997248,51,18,33
DHR,DHR,Healthcare,US,44.65077767617383,44.80831682193902,58.1253525986272,41.20959769575874,49.16985289074797,43.39323323632162,52,48,4
VZ,VZ,Communication Services,US,44.42203751754632,46.18394388281675,50.845416330783344,41.44042447532996,43.44351305159235,49.04219794374504,53,43,10
NKE,NKE,Consumer Cyclical,US,43.72884667795908,42.41627846484064,34.96317480520925,38.847964915180754,46.70649444809796,45.94928633603845,54,57,-3
CVX,CVX,Energy,US,43.29746810373573,48.9523630659217,59.94044851121184,31.23135783833157,37.90073467005168,63.67078575267195,55,27,28
RELIANCE.NS,RELIANCE.NS,Energy,India,41.99993708713396,72.12976061071343,55.03295099123307,22.355349409008017,56.951439757999054,47.47520292893827,56,1,55
HD,HD,Consumer Cyclical,US,41.54680289059205,44.1977116813256,50.52541692140543,30.964194757040183,43.17625260918561,51.99215437471005,57,50,7
RTX,RTX,Industrials,US,39.875059374577845,43.512324969355134,44.516951948684735,36.63040641302405,37.87492511521434,45.99397779898136,58,53,5
ASIANPAINT.NS,ASIANPAINT.NS,Basic Materials,India,39.5388066729437,44.83521758097338,59.438765716751234,36.21776179510941,33.74297374180639,50.17516411674391,59,47,12
LIN,LIN,Basic Materials,US,38.46842712098534,47.25743248204313,57.13696653017638,35.44503846834371,40.51058274763595,39.61319898464153,60,34,26
