ticker,sector,pref_esg_first,pref_balanced,pref_financial_first,rank_ESG-First,rank_Balanced,rank_Financial-First,ESG_composite,financial_score,market_score
ACN,Technology,49.64966006498205,49.61905662059045,49.86229865636001,47.0,40.0,37.0,46.71385112961024,47.71131638834347,51.98359559591778
DIS,Communication Services,50.03964290692983,49.32362414072241,49.18024820322755,42.0,41.0,41.0,48.32179774272363,46.478828954861854,43.85339069277268
AVGO,Technology,50.83381026885878,49.24290150694394,48.40714680748854,32.0,42.0,47.0,52.77180362463578,47.70356998343117,44.48947655518177
MA,Financial Services,49.87120043789345,49.22139033932406,48.98936001401744,44.0,43.0,43.0,48.49380706101621,50.97331158171782,47.50806762886165
ASIANPAINT.NS,Basic Materials,47.87262364030329,49.211138110982034,49.97001899417803,54.0,44.0,35.0,39.5388066729437,44.83521758097338,59.438765716751234
ADBE,Technology,51.75750488997674,49.17160349646133,48.83509920021309,28.0,45.0,45.0,57.15186576434425,51.7598404960786,27.34565839024519
AXISBANK.NS,Financial Services,50.19354100571169,49.10683550883872,48.108310292965896,39.0,46.0,49.0,53.270432946887965,46.62848783866424,47.87296192547184
CVX,Energy,47.02818474215471,49.10189358121333,49.91366740326895,55.0,47.0,36.0,43.29746810373573,48.9523630659217,59.94044851121184
CMCSA,Communication Services,48.73302365392443,48.84433921770117,48.49836108192115,53.0,48.0,46.0,46.13964050276128,47.40165522779081,45.91660807153243
TXN,Technology,50.108133755948224,48.52236199241501,48.17004839112183,41.0,49.0,48.0,50.54764377133043,47.50718295266115,45.00310938347874
WFC,Financial Services,50.24998742215017,48.04312115656035,47.290386295660255,38.0,50.0,52.0,54.55791564191147,42.69652925615671,40.4365440612105
JPM,Financial Services,48.799567282909535,47.88311648741076,47.72302152213842,52.0,51.0,50.0,50.74769022773617,43.95512000386982,50.5125768917792
CRM,Technology,49.55582096367119,47.66074909909508,47.17781293028647,48.0,52.0,54.0,52.04301446121109,47.23033778148015,29.025617801024502
RTX,Industrials,46.98354088328127,47.498881427524296,47.33101924740093,56.0,53.0,51.0,39.875059374577845,43.512324969355134,44.516951948684735
NESTLEIND.NS,Consumer Defensive,49.241846080849214,47.4839358084087,47.19464402857519,50.0,54.0,53.0,47.99405763821885,40.4639508446126,53.52207892624902
TSLA,Consumer Cyclical,50.518611517385295,47.31812316567886,45.577041304129885,37.0,55.0,56.0,52.25602212269639,35.850122526003545,58.3474280482796
TITAN.NS,Consumer Cyclical,49.26093024974109,46.818592461774166,45.51364699710098,49.0,56.0,57.0,51.84080434234404,38.50071032527067,52.65025986722433
ABT,Healthcare,46.74163603751979,45.5597864523496,45.03446981902091,57.0,57.0,58.0,47.23250606995741,46.32111371010331,22.782844192195437
HD,Consumer Cyclical,44.824375584913845,45.38519284472266,45.64706924092645,59.0,58.0,55.0,41.54680289059205,44.1977116813256,50.52541692140543
UNH,Healthcare,46.119546942802245,45.26856067414166,44.62588523237271,58.0,59.0,59.0,48.84233189469133,44.73293062071186,28.759133201505023
NKE,Consumer Cyclical,44.68887953318988,43.84693091743608,43.45887051517505,60.0,60.0,60.0,43.72884667795908,42.41627846484064,34.96317480520925
