cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
leave5out,original,2,1.262229049995513,-0.39408545300836817,271,5,-3.202932360685244,0.5469188966236758,0.715095591400391,market_score,price_momentum_6m,2000,2.0,0.02805121863164671,0.09856407400599554,0.715095591400391,0.1582891159619667
leave5out,original,3,1.4990763466410681,-0.47325072451084044,271,5,-3.1676155350999182,0.5957147637919871,0.7538226660930544,market_score,price_momentum_6m,2000,2.0,0.13560991307965137,0.016790035110580213,0.7538226660930544,0.09377738571671403
leave5out,original,4,1.0695259085852142,0.3396536406539265,271,5,3.1488722046706052,0.6207531971480852,0.7721213789829439,market_score,price_momentum_6m,2000,2.0,0.06445458117758895,0.022240716621176097,0.7721213789829439,0.14118332321829116
leave5out,original,5,1.4559466962650374,-0.06597982367502418,271,5,-22.066544246052928,0.5823545747772141,0.7438319904311518,market_score,price_momentum_6m,2000,2.0,0.1296304939045618,0.017124373540771006,0.7438319904311518,0.10941314212351551
leave5out,original,6,1.5132113213858194,-0.363894913061364,271,5,-4.158374485291259,0.5809995040421939,0.742724755030945,market_score,price_momentum_6m,2000,2.0,0.025911968681948085,0.08466930690023665,0.742724755030945,0.14669396938687007
leave5out,original,7,1.3085780261863864,-1.2233512990175923,271,5,-1.0696666013631586,0.6401614721557686,0.7895810637494013,market_score,price_momentum_6m,2000,2.0,0.10408598890056184,0.042304268727313944,0.7895810637494013,0.06402867862272281
leave5out,original,8,1.460738697968853,0.5050306895141856,271,5,2.8923761030934045,0.639353847671654,0.7880040390481124,market_score,price_momentum_6m,2000,2.0,0.07819881047451109,0.026047691417444972,0.7880040390481124,0.1077494590599316
leave5out,original,9,1.0793665091779507,0.11146223726513499,271,5,9.683696781019156,0.5801120314772009,0.7336757890677773,market_score,price_momentum_6m,2000,2.0,0.19764941218432774,0.048628373529562625,0.7336757890677773,0.020046425218332338
leave5out,original,10,1.2795304492673552,0.2545173838276836,271,5,5.027281160609879,0.621690516262357,0.7774738515481845,market_score,price_momentum_6m,2000,2.0,0.061869309721004316,0.0960096983366209,0.7774738515481845,0.06464714039419019
leave5out,original,11,1.5102950060935156,0.7191099812158861,271,5,2.100228122727284,0.6355296068129647,0.7868104108093169,market_score,price_momentum_6m,2000,2.0,0.04152998160572916,0.08522381503175744,0.7868104108093169,0.08643579255319654
