factor,group,ticker,company_name,sector,country,financial_score,roa,roe,net_margin,operating_margin,free_cashflow,debt_to_equity,ESG_composite,E_score,S_score,G_score,board_independence_pct,ethics_compliance_score,esg_data_source,growth_score,revenue_growth,earnings_growth,earnings_quarterly_growth,trailing_pe,value_score,price_to_book,price_to_sales,dividend_yield,enterprise_to_ebitda,stability_score,current_ratio,beta,price_volatility,market_cap,risk_adjusted_score,sharpe_ratio_1y,sortino_ratio_1y,max_drawdown_1y
stability_score,bottom_5,RPD,"Rapid7, Inc.",Technology,US,,,,,,,588.2596750000002,,,,,,,,,,,,,,,,,,21.42623781070244,1.281,0.905,50.66145212768329,468692855.5019124,,,,
stability_score,bottom_5,DOCN,"DigitalOcean Holdings, Inc.",Technology,US,,,,,,,28.275,,,,,,,,,,,,,,,,,,18.470820689801798,0.689,1.434,62.64154506090054,9356012544.0,,,,
stability_score,bottom_5,FMC,FMC Corporation,Basic Materials,US,,,,,,,200.048,,,,,,,,,,,,,,,,,,18.447511157291387,1.321,0.523,60.45111742501662,2219549440.0,,,,
stability_score,bottom_5,WSC,WillScot Holdings Corporation,Industrials,US,,,,,,,456.108,,,,,,,,,,,,,,,,,,14.907218845299711,0.859,1.164,47.48302180078349,3164035584.0,,,,
stability_score,bottom_5,RH,RH,Consumer Cyclical,US,,,,,,,588.2596750000002,,,,,,,,,,,,,,,,,,12.493553276807056,1.19,2.0946,72.71077264765017,2130517888.0,,,,
risk_adjusted_score,top_5,NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.71787282700567,,70.511526551853,1.1804639432941275,2.0807230936336847,-12.282257196305412
risk_adjusted_score,top_5,TORNTPHARM.NS,TORRENT PHARMACEUTICALS L,Healthcare,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.361118205361134,,69.18812984590775,1.1385448496745738,1.8876663115033896,-10.319389312373485
risk_adjusted_score,top_5,ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Financial Services,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.245212687395004,,68.55096549404888,1.6908173125397596,2.974194776762557,-19.722562889852536
risk_adjusted_score,top_5,STLD,"Steel Dynamics, Inc.",Basic Materials,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64335241767731,,67.24973466141908,1.2151595733428646,2.071983236398605,-20.327535896201752
risk_adjusted_score,top_5,CASY,"Caseys General Stores, Inc.",Consumer Cyclical,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.61491280270157,,66.96300480579943,2.0989350571314973,3.486408970066133,-9.46733770807845
risk_adjusted_score,bottom_5,VRNS,"Varonis Systems, Inc.",Technology,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.00712914736816,,26.47771401227136,-0.5061126881729204,-0.424991260986265,-66.70352319309978
risk_adjusted_score,bottom_5,FMC,FMC Corporation,Basic Materials,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45111742501662,,25.66930114056901,-0.7745379291199581,-0.7383067526390664,-70.30162104427026
risk_adjusted_score,bottom_5,IART,Integra LifeSciences Holdings C,Healthcare,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40761505436611,,25.1308498629851,-1.0078459222141465,-1.2243852780046407,-59.13682581292413
risk_adjusted_score,bottom_5,CYIENT.NS,CYIENT LIMITED,Industrials,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.372017990525435,,23.11049886641393,-1.3570013462602044,-2.056906648489538,-43.144336763502686
risk_adjusted_score,bottom_5,RPD,"Rapid7, Inc.",Technology,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.66145212768329,,16.304572490037792,-1.990153461204878,-2.523220203510213,-70.30162104427026
