outcome,spec,esg_measure,coef,se_hc3,ci_low,ci_high,p_two_sided,p_one_sided_neg,r2,n,p_holm_within_outcome_spec
realized_vol_oos,full_controls,ESG_imputed,0.03184575913689562,0.06211378445295085,-0.08989502133437198,0.1535865396081632,0.6081609436162191,0.6959195281918904,0.7708699250318258,260,1.0
max_drawdown_oos,trailing_only,ESG_composite,0.09086127402182377,0.054321356176761135,-0.015606627676000462,0.197329175719648,0.09439383310014815,0.9528030834499259,0.35627854063534525,260,0.5663629986008889
max_drawdown_oos,trailing_only,E_score,0.07960707012378429,0.05296330233780824,-0.024199094960625903,0.18341323520819447,0.1328233343076381,0.9335883328461809,0.3551645767814364,260,0.5663629986008889
max_drawdown_oos,trailing_only,S_score,0.10414299442863315,0.06264733658700886,-0.018643529009262638,0.22692951786652893,0.09643879733223205,0.951780601333884,0.3565559290883207,260,0.5663629986008889
max_drawdown_oos,trailing_only,G_score,-0.038929161925414305,0.06516561246985117,-0.16665141539681683,0.08879309154598823,0.5502482916810028,0.2751241458405014,0.35000195047353755,260,0.9289261127576132
max_drawdown_oos,trailing_only,ESG_measured,-0.04223262199714794,0.05681349666792092,-0.1535850293020593,0.06911978530776342,0.4572665127506469,0.22863325637532345,0.3504792015755209,260,0.9289261127576132
max_drawdown_oos,trailing_only,ESG_proxy,0.13166974543373905,0.0553069569762825,0.023270101665719065,0.24006938920175902,0.01727937695841201,0.991360311520794,0.36477762410351944,260,0.12095563870888407
max_drawdown_oos,trailing_only,ESG_imputed,0.11059478166241188,0.1088559779206235,-0.1027590145638975,0.3239485778887212,0.30964203758587105,0.8451789812070645,0.3518921300534382,260,0.9289261127576132
max_drawdown_oos,full_controls,ESG_composite,0.060162128362228076,0.0618792363681386,-0.06111894631016468,0.18144320303462083,0.33092586364426124,0.8345370681778694,0.40266999690510885,260,1.0
max_drawdown_oos,full_controls,E_score,0.06259454786403672,0.05907652248739283,-0.05319330854312383,0.17838240427119728,0.28934922857940293,0.8553253857102985,0.4031612449202846,260,1.0
max_drawdown_oos,full_controls,S_score,0.0885816445547264,0.07516671874131603,-0.05874241701430492,0.23590570612375772,0.23860970147042648,0.8806951492647868,0.40418766332456735,260,1.0
max_drawdown_oos,full_controls,G_score,-0.08765947708524592,0.06956651642053623,-0.22400734379941117,0.048688389628919346,0.2076399802372788,0.1038199901186394,0.405481183074187,260,1.0
max_drawdown_oos,full_controls,ESG_measured,-0.06924608967625479,0.05932762479265373,-0.18552609755816168,0.047033918205652114,0.24313719204711526,0.12156859602355763,0.4044128076679805,260,1.0
max_drawdown_oos,full_controls,ESG_proxy,0.07075062863364981,0.06676403039984603,-0.06010446641278572,0.20160572368008534,0.28927574782393595,0.855362126088032,0.4031098688925251,260,1.0
max_drawdown_oos,full_controls,ESG_imputed,0.09368099024520998,0.11374744117744341,-0.12925989779616742,0.3166218782865874,0.41017388325477233,0.7949130583726138,0.40252174421509257,260,1.0
realized_beta_oos,trailing_only,ESG_composite,-0.13770732799127788,0.046638544805460036,-0.22911719610133718,-0.0462974598812186,0.0031505833156557222,0.0015752916578278611,0.5358117212701552,260,0.018903499893934333
realized_beta_oos,trailing_only,E_score,-0.1032056214720778,0.04690810769363731,-0.19514382313453316,-0.011267419809622453,0.02779512293856433,0.013897561469282164,0.529141518022644,260,0.13897561469282166
realized_beta_oos,trailing_only,S_score,-0.11428416345612358,0.056130062441498686,-0.22429706429144536,-0.004271262620801783,0.041744351244506664,0.020872175622253332,0.5281509538349104,260,0.16697740497802666
realized_beta_oos,trailing_only,G_score,-0.054576669830974964,0.06348818302952088,-0.17901122201272296,0.06985788235077302,0.3899902266564975,0.19499511332824876,0.5206988145642919,260,0.779980453312995
realized_beta_oos,trailing_only,ESG_measured,-0.06444456789047781,0.05137373014848312,-0.1651352287329843,0.03624609295202867,0.20968702983539544,0.10484351491769772,0.522354841287495,260,0.6290610895061863
realized_beta_oos,trailing_only,ESG_proxy,-0.14432376908422173,0.04765379158319448,-0.23772348431406087,-0.05092405385438259,0.0024569835124854424,0.0012284917562427212,0.5380839457174804,260,0.017198884587398097
realized_beta_oos,trailing_only,ESG_imputed,0.046735073326937396,0.08555651816194028,-0.12095262091311258,0.21442276756698736,0.5848955042992114,0.7075522478503943,0.519292924337511,260,0.779980453312995
realized_beta_oos,full_controls,ESG_composite,-0.0328893711115294,0.056734684584647664,-0.14408730957167862,0.07830856734861982,0.5621136805384432,0.2810568402692216,0.6287978520880476,260,1.0
realized_beta_oos,full_controls,E_score,0.00040415850817257515,0.05305911923401409,-0.1035898042419115,0.10439812125825665,0.9939224638454759,0.503038768077262,0.6281602955654495,260,1.0
realized_beta_oos,full_controls,S_score,0.03532614560195961,0.0619184905619958,-0.0860318658766354,0.1566841570805546,0.568320589216903,0.7158397053915485,0.6287408888748898,260,1.0
realized_beta_oos,full_controls,G_score,-0.04339579629318754,0.058718673225831707,-0.15848228103579404,0.07169068844941898,0.4598791096274687,0.22993955481373435,0.6293726746224106,260,1.0
realized_beta_oos,full_controls,ESG_measured,-0.021333068940435174,0.04862355328069448,-0.11663348217096074,0.0739673442900904,0.6608503696103636,0.3304251848051818,0.6285290421447634,260,1.0
realized_beta_oos,full_controls,ESG_proxy,0.047716155974709185,0.05519712169813073,-0.06046821460390139,0.15590052655331976,0.3873307466336273,0.8063346266831863,0.6293320622519536,260,1.0
realized_beta_oos,full_controls,ESG_imputed,-0.05586439293681757,0.07742258389526899,-0.20760986896157557,0.09588108308794045,0.4705701763299186,0.2352850881649593,0.6288711272023202,260,1.0
