ticker,base_rank,avg_rank,rank_std,rank_range,rank_stable
SPB,204.0,204.97,2.6849767224316863,18.0,True
ELGIEQUIP.NS,205.0,206.87,2.4765096406030804,13.0,True
IVZ,206.0,207.8,4.029888335921977,18.0,False
POONAWALLA.NS,207.0,209.87,4.849030831001181,23.0,False
EXAS,208.0,210.15,4.524102120863321,21.0,False
ROAD,209.0,209.99,4.699989361690089,25.0,False
MTZ,210.0,213.07,6.409765986367989,30.0,False
CLF,211.0,210.87,4.318923476978957,19.0,False
POST,212.0,211.62,2.89406288805202,13.0,True
GABRIEL.NS,213.0,212.76,4.608947819188237,23.0,False
HRL,214.0,213.6,5.907622195096772,24.0,False
RAJESHEXPO.NS,215.0,215.27,8.24967272078111,34.0,False
ZYDUSWELL.NS,216.0,217.78,5.145055879191207,27.0,False
WK,217.0,217.25,3.272231654391235,15.0,False
VMART.NS,218.0,216.58,4.554514244131859,19.0,False
PTEN,219.0,218.05,4.153010955921016,20.0,False
KAYNES.NS,220.0,218.32,3.4289356949350913,18.0,False
MASTEK.NS,221.0,219.05,4.712483421721503,24.0,False
KRC,222.0,220.44,4.92,24.0,False
BILL,223.0,223.02,3.133624099983915,17.0,False
NTRA,224.0,223.93,4.186299081527739,19.0,False
DY,225.0,225.63,4.74058013327483,21.0,False
BRIGADE.NS,226.0,224.94,3.6050520107205113,23.0,False
MANAPPURAM.NS,227.0,226.19,5.895243845677633,29.0,False
THERMAX.NS,228.0,228.48,2.6813429471069155,13.0,True
ESAB,229.0,227.74,5.955871053003078,29.0,False
ZS,230.0,232.27,2.9320811721369515,13.0,True
ELF,231.0,233.08,4.335158589948008,18.0,False
HAPPSTMNDS.NS,232.0,232.14,4.324395911569615,21.0,False
GALAXYSURF.NS,233.0,233.97,2.414352915379191,10.0,True
CWAN,234.0,235.31,4.623191538320687,21.0,False
TIINDIA.NS,235.0,234.66,3.473384516577455,15.0,False
NEWGEN.NS,236.0,233.7,5.694734409961539,29.0,False
PNW,237.0,235.98,4.6216447288817,20.0,False
GODREJPROP.NS,238.0,237.0,4.190465367951393,19.0,False
SUPRAJIT.NS,239.0,237.71,3.4301457694972672,15.0,False
RVMD,240.0,238.83,5.035980540073601,21.0,False
JYOTHYLAB.NS,241.0,239.04,4.2235530066521,23.0,False
TTWO,242.0,241.93,1.7507426995421118,9.0,True
RBLX,243.0,241.98,3.3465803441722417,17.0,False
KPITTECH.NS,244.0,241.82,3.516759872382531,21.0,False
AES,245.0,245.39,2.310389577538819,15.0,True
PCVX,246.0,247.86,3.361606758679546,17.0,False
FROG,247.0,248.23,3.4142495515120155,17.0,False
SYNGENE.NS,248.0,248.14,3.9598484819497832,16.0,False
HONAUT.NS,249.0,251.0,2.6758176320519302,11.0,True
WOR,250.0,251.15,2.5588083163847974,10.0,True
SITE,251.0,251.88,2.519047439013406,11.0,True
DEVYANI.NS,252.0,252.15,2.977834783865619,12.0,True
SHAK,253.0,253.51,4.343949815548057,17.0,False
CYIENT.NS,254.0,251.98,4.209465524267897,13.0,False
AAON,255.0,253.6,3.8832975677895196,15.0,False
ESTC,256.0,254.43,1.8987100884547912,8.0,True
CFLT,257.0,255.81,3.9640761849389325,16.0,False
RELAXO.NS,258.0,257.86,3.0365111559156177,14.0,False
GLOB,259.0,257.8,2.533771891863985,13.0,True
AVTR,260.0,259.05,2.790609252475165,14.0,True
RPD,261.0,260.6,1.9493588689617927,9.0,True
TENB,262.0,262.0,1.0954451150103321,5.0,True
TROX,263.0,262.39,1.2156891049935423,6.0,True
IONS,264.0,263.44,1.6930445948054647,9.0,True
GNRC,265.0,266.01,1.1789402020458883,5.0,True
IART,266.0,266.51,1.7634908562280665,7.0,True
KMX,267.0,267.69,1.5407465722824114,7.0,True
STEP,268.0,267.86,1.9391750823481617,8.0,True
VRNS,269.0,268.9,1.5588457268119895,7.0,True
SAPPHIRE.NS,270.0,268.98,2.102284471711666,8.0,True
HLX,271.0,270.6,0.8602325267042626,5.0,True
MARA,272.0,271.61,1.593078780224004,7.0,True
OMCL,273.0,272.78,0.5582114294781145,2.0,True
AZTA,274.0,273.86,0.34698703145794946,1.0,True
FOXF,275.0,275.0,0.0,0.0,True
NEOG,276.0,276.0,0.0,0.0,True
