column,variable_type,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skewness,kurtosis,n_zeros,n_negative,n_unique
pay_gap_ratio,ratio,60,0,0.0,0.8652631632085233,0.06234979977903566,0.7563268777792357,0.8216231250270535,0.8584395716241484,0.9110996915662827,1.0061354912185012,0.17228054208244098,-0.5970614136015575,0,0,60
board_diversity_pct,bounded_pct,60,0,0.0,32.11539835157542,7.950138381446515,15.351127931220583,25.801554839520602,32.26826853006637,37.861529959932994,49.600659167716096,0.08568774868456226,-0.7301822163809746,0,0,60
board_size,ordinal,60,0,0.0,9.1,2.989813213370939,5.0,6.75,9.0,12.0,14.0,0.2543649562419738,-1.117380296154474,0,0,10
net_income,count,60,0,0.0,109671755426.13333,192794678716.6294,2348000000.0,8526249984.0,24965000192.0,118148249600.0,832110002176.0,2.670480883774823,6.784811590336831,0,0,60
net_margin,rate,60,0,0.0,19.730780932497304,12.066187020288787,2.6936750059174908,10.30510178477673,17.9077461054376,27.039500420338094,53.0068092592338,0.7780279521062186,0.280169589901786,0,0,60
bid_ask_spread,continuous,60,0,0.0,0.12033251426309498,0.10770258953803752,0.0014485861372039,0.05612011400129688,0.09786418306205755,0.14389232085157933,0.5433246192014817,2.0003865763071698,4.851420314065074,0,0,60
renewable_energy_pct,bounded_pct,60,0,0.0,28.560723012603674,12.840723924272089,5.0,20.06861519932052,28.293309065001424,37.087425889228385,70.05705917569021,0.3362700797355274,0.582498882403319,0,0,58
data_privacy_score,bounded_pct,60,0,0.0,67.48412251297025,13.17258957601707,32.13285344062021,58.681549773733614,69.36967463812837,78.08054605700237,95.0,-0.3587872074419704,0.07345704898538363,0,0,60
employees,count,60,0,0.0,3449225.2397226673,7422519.652272042,88409.99936,295784.99584,888442.51136,3471313.7971200002,51227399.29088,4.93252259670151,29.57953895412995,0,0,60
price_momentum_3m,continuous,30,30,50.0,0.873928728500322,12.924807782899771,-24.003672197779125,-7.8778218198419125,0.36173922692965815,8.621979093649133,22.832626929175383,0.02024175640042087,-0.6590444201852086,0,13,30
