signal,horizon,neutralization,ic,ci_low,ci_high,p_two_sided,q5_minus_q1_pp,n,p_holm_within_horizon
stability_score,3m,sector+country,-0.11536720502237743,-0.23307618221679952,0.011126548940867446,0.06324236462846433,-7.126778043832788,260,1.0
stability_score,full,country,-0.025118032014583735,-0.14447431522234708,0.10134900753849434,0.6868539179914233,-5.383696120601699,260,1.0
stability_score,full,sector+country,-0.06792089550710238,-0.19888377357475673,0.055768204506410624,0.27519585634764127,-7.138902410523799,260,1.0
sector_position,1m,country,-0.09849288913877366,-0.2185075995827632,0.02786677700978662,0.11311354917884524,-1.5981440530315,260,0.7917948442519167
sector_position,1m,sector+country,-0.07308328728272685,-0.20325322870377524,0.05028293649102619,0.24026467215217004,-1.1814748178079433,260,1.0
sector_position,3m,country,-0.07407364419025722,-0.18796129170358047,0.04156496308050316,0.23393539646117967,-2.686219137406199,260,1.0
sector_position,3m,sector+country,-0.043821500888737104,-0.16739963243648168,0.09702112208748652,0.48172311201851836,1.4817121750195477,260,1.0
sector_position,full,country,-0.1416599556284292,-0.2632812456765945,-0.013316277679213524,0.02232891079465199,-10.790723454802453,260,0.37959148350908384
sector_position,full,sector+country,-0.07873354484099465,-0.19627307489558682,0.04472385496730229,0.20573214132954892,-2.5268834561308124,260,1.0
ESG_orthogonal,1m,country,-0.05398441260510225,-0.1774424685593253,0.06364648282712897,0.3859909968739297,-1.8404314424107269,260,1.0
ESG_orthogonal,1m,sector+country,-0.022364463743774085,-0.14942029770833135,0.1042968389309809,0.7196523466751672,-1.1506137012255477,260,1.0
ESG_orthogonal,3m,country,-0.07668138012965599,-0.19700609894886748,0.044175779359570365,0.21783418768304882,-6.855893111766873,260,1.0
ESG_orthogonal,3m,sector+country,-0.0006103868172833689,-0.11872357698203738,0.12213979297772636,0.9921850297460391,-1.8438987534142361,260,1.0
ESG_orthogonal,full,country,-0.08516739551222308,-0.20645061749458252,0.04462214850694458,0.17095086924092867,-13.633737470626105,260,1.0
ESG_orthogonal,full,sector+country,-0.005232667301632818,-0.13246222710915925,0.12027369855304583,0.9330816722626923,-3.9533535813460325,260,1.0
pref_balanced,1m,country,-0.17452491465934228,-0.29798855135237434,-0.04492921489453166,0.00476861913851217,-5.921590462179177,260,0.07629790621619471
pref_balanced,1m,sector+country,-0.1924101390456656,-0.3026011635853866,-0.0681758903583745,0.0018285954241378849,-5.90258956209875,260,0.027428931362068275
pref_balanced,3m,country,-0.07406198670360276,-0.20375950799298256,0.046898026472508736,0.23400920847531959,-5.292754168523843,260,1.0
pref_balanced,3m,sector+country,-0.04513449421779647,-0.18233379120137788,0.08476075491563077,0.4686762505776644,-1.852405484864615,260,1.0
pref_balanced,full,country,-0.09394155135571408,-0.22675901115309674,0.03953738691663567,0.13083782323573004,-10.017418311485821,260,1.0
pref_balanced,full,sector+country,-0.05522772672349467,-0.187879087615875,0.07070916420895489,0.37512919231308817,-1.4609365140110442,260,1.0
pref_esg_first,1m,country,-0.15869104095037612,-0.278925835688641,-0.0316348511913869,0.010384783093794902,-4.866151643066983,260,0.12661939624989982
pref_esg_first,1m,sector+country,-0.16126640948257484,-0.269735508783981,-0.03271272178932939,0.00919050112711396,-4.788872098460872,260,0.11028601352536752
pref_esg_first,3m,country,-0.08225612388260141,-0.22167303207790032,0.043010873031398375,0.18610455245915375,-5.92845965710865,260,1.0
pref_esg_first,3m,sector+country,-0.026830055547599905,-0.14018283771808768,0.09977201428991771,0.6667485852872905,-0.1851753730211286,260,1.0
pref_esg_first,full,country,-0.11050734316290853,-0.2302246649806469,0.01461661944980118,0.07528185557688086,-13.990609080100867,260,1.0
pref_esg_first,full,sector+country,-0.04144383817304564,-0.16154591354970807,0.08836103956628656,0.5058408492767011,-1.3789430080641734,260,1.0
pref_financial_first,1m,country,-0.1678751792883589,-0.29879271077225206,-0.03941504555470932,0.006664806799527922,-4.359886126153789,260,0.0933072951933909
pref_financial_first,1m,sector+country,-0.19218653533561916,-0.31476052257902554,-0.0674054687413362,0.0018516208328754466,-4.411873701092993,260,0.027428931362068275
pref_financial_first,3m,country,-0.05071263867910705,-0.17765723638081282,0.08035085934290447,0.4154726626576485,-3.470009595002277,260,1.0
pref_financial_first,3m,sector+country,-0.03521809640187544,-0.16921454113934417,0.08926611488880946,0.5718602594774742,-0.2981555959557318,260,1.0
pref_financial_first,full,country,-0.06320952572287672,-0.1857223654865473,0.07282764335109597,0.3099496584456294,-5.285917327349657,260,1.0
pref_financial_first,full,sector+country,-0.036141528517410634,-0.16395396795155207,0.0923907158929524,0.5618160005799175,2.6009648579543505,260,1.0
pref_equal_weight,1m,country,-0.1600468510075278,-0.27296195868826345,-0.033328519823951006,0.009739953557684602,-5.057360681705809,260,0.12661939624989982
pref_equal_weight,1m,sector+country,-0.18163641242285528,-0.2982406219852506,-0.06264826593439053,0.0032908755345635657,-5.002805097766844,260,0.042781381949326354
pref_equal_weight,3m,country,-0.09094946686675469,-0.21558130020835867,0.03697336772705795,0.1436090288910362,-8.436920743760341,260,1.0
pref_equal_weight,3m,sector+country,-0.06160238365259255,-0.1922942664481013,0.06607811596373386,0.322436895852075,-4.33624546569921,260,1.0
pref_equal_weight,full,country,-0.10460364744182905,-0.22400384900201173,0.02328843627556439,0.09234090000930073,-8.796552271203309,260,1.0
pref_equal_weight,full,sector+country,-0.04365466533486973,-0.17296596492952593,0.08036340724694788,0.4833948630062641,-1.3775101477298974,260,1.0
pref_balanced_feb2026,1m,country,-0.17070962588203967,-0.28797090810335924,-0.04806555313952767,0.005786646366338756,-4.625216156169859,260,0.08679969549508133
pref_balanced_feb2026,1m,sector+country,-0.20368143816419676,-0.3240358378632541,-0.08582063520513551,0.0009561086646887137,-4.920332049586399,260,0.015297738635019419
pref_balanced_feb2026,3m,country,-0.07792809861775378,-0.2020075871246435,0.05605138109681306,0.21042280179448467,-5.454363504169211,260,1.0
pref_balanced_feb2026,3m,sector+country,-0.04820485510140682,-0.1701488170878673,0.07943119123910491,0.4389397844792844,-2.0117474330657727,260,1.0
pref_balanced_feb2026,full,country,-0.09218752667028528,-0.22641282547700822,0.032007096979240215,0.13821384883455112,-8.617675096396098,260,1.0
pref_balanced_feb2026,full,sector+country,-0.04457803768148595,-0.17417087563297626,0.08073920317192501,0.47418173819184384,-1.7577189177749382,260,1.0
pref_balanced_pre_audit,1m,country,-0.18862901737776622,-0.3045317543907995,-0.06711241653110699,0.002255399219802791,-3.7463409705995696,260,0.03834178673664745
pref_balanced_pre_audit,1m,sector+country,-0.213094335674234,-0.33368036819213304,-0.08578533813002522,0.0005415735339502391,-4.307615346746842,260,0.009206750077154064
pref_balanced_pre_audit,3m,country,-0.09096164786717185,-0.21175282215535862,0.03700533736464976,0.14355517582221688,-6.336350836302861,260,1.0
pref_balanced_pre_audit,3m,sector+country,-0.048760970877068335,-0.1800576352921675,0.07601419772083311,0.43367147627619285,-2.5029840642577237,260,1.0
pref_balanced_pre_audit,full,country,-0.10983926307044922,-0.2366040042557136,0.01683197310083548,0.07707360408291937,-8.419620009302651,260,1.0
pref_balanced_pre_audit,full,sector+country,-0.06537899377989195,-0.18410296401362372,0.06481891480374129,0.29360359164846084,-0.9481785801657562,260,1.0
ESG_composite_pre_audit,1m,country,-0.2064083788221719,-0.3225296854149949,-0.0755403712054445,0.0008130100322181935,-5.9134455027102675,260,0.015447190612145676
ESG_composite_pre_audit,1m,sector+country,-0.21539963608929122,-0.32776664079711226,-0.09343277912958803,0.000469419344621397,-5.957702448139955,260,0.008918967547806543
ESG_composite_pre_audit,3m,country,-0.15786146130973716,-0.27838677225125463,-0.03545917905273774,0.010797704137988733,-9.911807570214746,260,0.20515637862178593
ESG_composite_pre_audit,3m,sector+country,-0.09114836701043597,-0.22026517592275602,0.030516235193590337,0.14273160320845885,-3.393536961315637,260,1.0
ESG_composite_pre_audit,full,country,-0.1592454144178282,-0.28243248784536873,-0.03937456032752776,0.010116691553368537,-16.510177553138725,260,0.18210044796063368
ESG_composite_pre_audit,full,sector+country,-0.11692184795633069,-0.24201516494638534,0.0020855495116374754,0.059742880077848046,-5.842190165578575,260,1.0
