ticker,original_rank,bootstrap_mean_rank,bootstrap_std_rank,ci_lower_5,ci_upper_95,p_top_n,ci_width_sampling,ci_width_weights,ci_width,consensus_rank,rank_std,ci_lower,ci_upper,rank_stable,rank_stable_relaxed,rank_stable_strict,rank_stable_moderate
JUBLFOOD.NS,127.0,128.167,12.784721780312625,106.0,156.0,0.0,20.0,47.0,50.0,128.167,12.784721780312625,106.0,156.0,False,True,True,True
ABB.NS,128.0,132.608,18.635298119429162,98.0,168.02499999999998,0.0,20.025000000000006,71.0,70.02499999999998,132.608,18.635298119429162,98.0,168.02499999999998,False,True,False,True
SUDARSCHEM.NS,129.0,129.635,14.28228885718252,104.0,158.0,0.0,22.024999999999977,51.0,54.0,129.635,14.28228885718252,104.0,158.0,False,True,False,True
ALGN,130.0,133.44,16.93624515646842,104.0,169.0,0.0,21.0,61.0,65.0,133.44,16.93624515646842,104.0,169.0,False,True,False,True
EA,131.0,126.172,17.22905731605766,97.0,164.0,0.0,18.0,65.0,67.0,126.172,17.22905731605766,97.0,164.0,False,True,False,True
TRGP,132.0,129.934,17.046807443037537,101.0,163.0,0.0,21.0,60.02499999999998,62.0,129.934,17.046807443037537,101.0,163.0,False,True,False,True
PEN,133.0,133.94,19.072398905224272,94.975,168.02499999999998,0.0,23.0,70.0,73.04999999999998,133.94,19.072398905224272,94.975,168.02499999999998,False,True,False,True
GFF,134.0,138.08,22.14591610207173,101.0,178.0,0.0,23.025000000000006,76.025,77.0,138.08,22.14591610207173,101.0,178.0,False,True,False,True
BATAINDIA.NS,135.0,138.014,17.940563090382643,106.0,172.0,0.0,25.025000000000006,65.0,66.0,138.014,17.940563090382643,106.0,172.0,False,True,False,True
ARVIND.NS,136.0,137.053,12.589129874618022,113.0,161.0,0.0,22.0,43.02499999999998,48.0,137.053,12.589129874618022,113.0,161.0,False,True,True,True
OGE,137.0,132.733,16.771574493767723,103.0,167.0,0.0,21.0,65.0,64.0,132.733,16.771574493767723,103.0,167.0,False,True,False,True
