esg_weight,financial_weight,risk_adj_weight,market_weight,operational_weight,mean_score,std_score,score_sharpe,return_sharpe,kendall_vs_base,top10_overlap
0.1,0.25,0.15,0.111,0.111,51.465364582970814,3.8402462154830217,13.401579402417926,0.47879278845383616,0.896045197740113,8
0.1,0.35,0.2,0.078,0.078,51.04098026221194,4.053589849679373,12.591550244036155,0.47879278845383605,0.864406779661017,8
0.2,0.3,0.2,0.067,0.067,50.89541031495733,3.729679378087621,13.646055103988363,0.47879278845383605,0.8655367231638418,9
0.2,0.2,0.15,0.1,0.1,51.31979463571624,3.5268791819568173,14.551049805394069,0.47879278845383605,0.9005649717514125,9
0.15,0.2,0.15,0.111,0.111,51.463999010341354,3.6246720575075173,14.198249715399196,0.47879278845383605,0.9062146892655367,9
0.15,0.2,0.2,0.1,0.1,51.325292293573696,3.5986886646335763,14.262220790742811,0.47879278845383605,0.8564971751412429,9
0.15,0.25,0.2,0.089,0.089,51.18245349157807,3.6954007700284444,13.850311962185113,0.47879278845383605,0.8677966101694915,9
0.15,0.35,0.2,0.067,0.067,50.89677588758682,3.9551365443459465,12.86852560351154,0.47879278845383605,0.8745762711864408,9
0.1,0.2,0.15,0.122,0.122,51.608203384966444,3.7434302932253387,13.78634015891403,0.478792788453836,0.8768361581920904,9
0.2,0.15,0.1,0.122,0.122,51.60134015447951,3.4894008176021103,14.788023173692254,0.478792788453836,0.8994350282485876,10
0.25,0.25,0.2,0.067,0.067,50.894044742327885,3.533458875087706,14.403463161750897,0.4498310543176722,0.8440677966101694,9
0.25,0.2,0.2,0.078,0.078,51.03688354432351,3.423387902804762,14.908296982944426,0.4498310543176722,0.8361581920903954,9
0.3,0.15,0.2,0.078,0.078,51.03551797169403,3.280816429946092,15.555737134301365,0.4498310543176722,0.7932203389830509,9
0.3,0.2,0.2,0.067,0.067,50.892679169698404,3.371583479647628,15.094592637376387,0.4498310543176722,0.8067796610169491,9
0.3,0.15,0.15,0.089,0.089,51.174224688461656,3.3021688018510207,15.497155886830008,0.44983105431767206,0.8259887005649718,9
0.25,0.15,0.2,0.089,0.089,51.17972234631913,3.3385514959623026,15.329918501087587,0.44983105431767206,0.8158192090395481,9
0.25,0.3,0.2,0.056,0.056,50.75120594033226,3.6664924325287314,13.841895728104813,0.36578838384236884,0.8418079096045198,9
0.3,0.15,0.1,0.1,0.1,51.31293140522929,3.354355162363586,15.29740558764887,0.3657883838423688,0.8463276836158192,9
0.3,0.2,0.15,0.078,0.078,51.03138588646605,3.401042703293721,15.004629561264997,0.3657883838423688,0.8463276836158192,9
0.25,0.2,0.15,0.089,0.089,51.17559026109115,3.451834016746884,14.82562313579552,0.3657883838423688,0.8757062146892655,9
0.3,0.25,0.2,0.056,0.056,50.74984036770278,3.487618402355633,14.551431524724666,0.36578838384236867,0.8192090395480226,8
0.3,0.3,0.2,0.044,0.044,50.60700156570715,3.6264965638553632,13.95479098717548,0.36578838384236867,0.801129943502825,8
0.2,0.2,0.05,0.122,0.122,51.597208069251515,3.66641374657363,14.072936562618802,0.3134479763399017,0.9299435028248587,10
0.15,0.2,0.05,0.133,0.133,51.74141244387662,3.759531166891973,13.762730017550375,0.3134479763399017,0.9254237288135593,10
0.2,0.15,0.05,0.133,0.133,51.74004687124714,3.566823419948765,14.505917669044507,0.3134479763399017,0.9028248587570621,10
0.15,0.15,0.05,0.144,0.144,51.88425124587224,3.6665889071743187,14.150550432020516,0.3134479763399016,0.9005649717514125,10
0.1,0.35,0.1,0.1,0.1,51.31839369574721,4.166487820117856,12.316943168950363,0.31344797633990157,0.919774011299435,8
0.1,0.3,0.05,0.122,0.122,51.59993921451046,4.110663798403618,12.55270237213126,0.31344797633990157,0.9344632768361582,8
0.1,0.3,0.1,0.111,0.111,51.46123249774282,4.0227191879919655,12.792648477695913,0.31344797633990157,0.9242937853107344,8
0.1,0.35,0.05,0.111,0.111,51.457100412514826,4.258387243281008,12.083706218239495,0.31344797633990157,0.9231638418079096,8
0.15,0.3,0.05,0.111,0.111,51.45573483988535,4.0113264759968805,12.827610803185745,0.31344797633990157,0.9559322033898304,9
0.1,0.2,0.05,0.144,0.144,51.88561681850174,3.873139747544116,13.396267679228922,0.31344797633990157,0.8926553672316384,10
0.15,0.25,0.05,0.122,0.122,51.59857364188098,3.8750952533374834,13.3154336260791,0.3134479763399015,0.9593220338983052,10
0.1,0.25,0.05,0.133,0.133,51.74277801650608,3.9816253038504206,12.995391094478132,0.3134479763399015,0.9186440677966101,9
0.2,0.35,0.2,0.056,0.056,50.75257151296173,3.8768894199891686,13.091054712567587,0.31009476823017745,0.8564971751412429,9
0.25,0.25,0.15,0.078,0.078,51.03275145909553,3.569293897750326,14.297716276552894,0.3100947682301774,0.8858757062146891,9
0.2,0.3,0.15,0.078,0.078,51.034117031724996,3.7709477014539297,13.533499022194047,0.3100947682301774,0.903954802259887,9
0.25,0.35,0.2,0.044,0.044,50.608367138336625,3.8200903314755585,13.2479503743734,0.3100947682301774,0.8350282485875706,8
0.2,0.2,0.1,0.111,0.111,51.45850135248387,3.5829212323704107,14.36216372443204,0.30236241731005437,0.9344632768361582,9
