ticker,country,sector,ret_1m,ret_3m,ret_full,realized_vol_oos,max_drawdown_oos,realized_beta_oos,n_days_oos
NEOG,US,Healthcare,1.2752379118484702,-0.7438862482391007,44.20828814950697,51.73454285691796,-20.793041977533132,1.3833686491285937,118.0
AVTR,US,Healthcare,0.7594929374080017,30.6329059524427,86.835443679768,46.871669938452385,-10.902694694630243,0.4293433922443761,118.0
ENSG,US,Healthcare,-6.560879004235365,-14.408931466609765,-10.725185170980433,27.82312656829155,-28.15566532161582,-0.36140976920796825,118.0
GMED,US,Healthcare,3.8898979073833884,-8.871696525032869,-15.878070262976351,38.01899835903846,-24.023964273441223,0.38455880379779417,118.0
OMCL,US,Healthcare,25.329421155740395,26.002919053132988,-3.3967783179542743,52.08003727755873,-31.425532888858886,0.7447650667384044,118.0
GNRC,US,Industrials,33.61842507658481,30.176726482211038,2.7461496891244552,62.96040654358217,-40.776208391869076,2.2732540813670776,118.0
MTZ,US,Industrials,24.136804063080852,11.057246892425665,-35.31003590410084,62.54918932411575,-52.51537213713302,1.7753352644329012,118.0
AWI,US,Industrials,2.0784160361340565,-3.7187275214520032,-0.24908168938149178,28.974618876182646,-15.980283629989566,0.8956292423689899,118.0
GFF,US,Industrials,29.585575645431717,30.345249876033332,35.88297545781807,40.10870112423655,-15.433534911971025,1.5052046098351035,118.0
WWD,US,Industrials,-2.364307660224574,12.53851846193077,-12.094852552812018,37.098858411072904,-26.969716735467674,1.1113893217634268,118.0
FIX,US,Industrials,31.74098946768553,22.918062792130222,14.831436844262868,56.242130076205676,-26.469436801983537,2.2277325586503127,118.0
ROAD,US,Industrials,19.49192511910256,1.9170826244195194,-11.75748136746073,59.13723630320893,-33.485189861029674,1.9278458334230955,118.0
DY,US,Industrials,24.544022319425384,25.73891065348817,-19.304895198436146,64.92866962399508,-47.5074745826556,1.7510350862068844,118.0
EME,US,Industrials,19.522667119704494,2.4786129868531015,-0.4941246857393389,46.82376091963728,-28.707035664949387,1.8344494063386387,118.0
WSC,US,Industrials,30.477299791580002,53.7278460621335,3.5836805252409176,52.85263007285843,-38.20491692311582,1.7089318456693592,118.0
GGG,US,Industrials,-6.100743598146019,-10.784443729151239,-6.7040724241633765,21.78768245244721,-17.123036021636505,0.43721884530495086,118.0
RBC,US,Industrials,8.693515113303274,10.299030069817782,-8.729995231750088,31.15011645554607,-26.326498055667848,1.1124167727286054,118.0
ITT,US,Industrials,8.638721246391201,-3.117294140668736,10.129465572737928,32.5531725395858,-16.725063368949943,1.351149211972562,118.0
WTS,US,Industrials,1.6198153599001897,27.821866431206743,24.130453360000704,30.09018256743753,-14.12696304137021,0.9161079698443573,118.0
ALLE,US,Industrials,-3.948672597433023,0.07054743699264066,10.07713237313097,31.108030066799664,-15.330179295458901,0.6034703505024324,118.0
SITE,US,Industrials,-0.8915869279345956,-11.322391286092358,-26.013888098800475,45.45776473819934,-40.85477137726875,1.2075267010970858,118.0
TTC,US,Industrials,1.4778828035134195,5.186684175089162,4.644931588608259,26.488897888748408,-11.128088885272447,0.3717826518558041,118.0
AAON,US,Industrials,15.03195220037643,32.368448572756606,1.42969101832775,73.11795858668634,-49.76912798826958,2.2290171391220706,118.0
ESAB,US,Industrials,-0.43711915737143503,-5.5616672094933595,-31.46655310017723,52.232628841089394,-40.64510514453216,2.2109845297025483,118.0
MWA,US,Industrials,-0.9403191544249623,-9.452220316857629,-21.030146523215098,27.077773982021824,-28.102859537000903,0.5491235180751937,118.0
ZWS,US,Industrials,13.904920753674933,9.455556538261266,4.387998547108873,30.866021955447675,-14.213622748410405,0.8795018522354321,118.0
SPXC,US,Industrials,5.4944558596838,15.434139207896447,-12.007698306451465,45.12075269826348,-29.548312356033513,2.043917840175604,118.0
KMX,US,Consumer Cyclical,-6.5486315617674045,23.647829513100092,39.36453970999973,48.31698600712416,-26.100246323107644,0.9520947041458009,118.0
FIVE,US,Consumer Cyclical,-2.068904851444464,-22.498834636640975,-3.3901167204344773,43.77591608590483,-28.84825189820107,0.5203151519743527,118.0
DKS,US,Consumer Cyclical,17.142114644873764,23.862147228925767,-29.92728366656535,60.628398872847114,-48.86556942272164,0.886469498352244,118.0
ASO,US,Consumer Cyclical,-6.137746699547786,-16.329451870681734,-15.255417631913193,44.94922572495461,-27.637058278324357,0.6005142418394248,118.0
BOOT,US,Consumer Cyclical,26.86445440573251,16.691326536948136,-7.894351516158682,50.11535105348685,-31.217082045272747,1.3194546907367006,118.0
WSM,US,Consumer Cyclical,0.29814128144700636,26.789461938038617,27.380531912642823,33.594253924000796,-16.63041692239028,1.0966431833143921,118.0
RH,US,Consumer Cyclical,14.551385747798683,49.02168446623387,9.809622195688128,58.7755965770562,-36.48228385689302,2.112702859093596,118.0
POOL,US,Industrials,2.542743280453741,8.958291903604065,-16.741852729360062,36.89159479322978,-27.864504658107393,0.6670572749023322,118.0
DECK,US,Consumer Cyclical,2.6141793903437405,6.489680644137863,-20.05899878997537,39.15710134836464,-32.22873107035327,1.236051011985103,118.0
YETI,US,Consumer Cyclical,10.973591300308128,36.66116004564206,15.126512397346236,43.00179866925732,-25.227792024560046,1.138211680462628,118.0
GRMN,US,Technology,2.0071559653697113,1.4446333302559733,22.01656414478861,36.073501996972404,-15.613776806405411,0.6440914059832823,118.0
LULU,US,Consumer Cyclical,-14.217826365329433,-23.946828039563105,-34.31800797745007,50.17740321187283,-42.62314439422844,1.2552731349541073,119.0
FOXF,US,Consumer Cyclical,5.78413408990357,-1.5503889194079856,11.27012127643361,50.90186653746943,-15.46911216981811,1.1345259425998566,118.0
CROX,US,Consumer Cyclical,24.16924779608449,49.748975968593825,48.96007326261205,43.55301893736152,-22.919470253413277,1.3524870512861853,118.0
SIG,US,Consumer Cyclical,1.3959973458941288,-0.4733765667679579,18.921206730090457,54.371749391592274,-22.6059822524192,0.814302396035724,118.0
SHAK,US,Consumer Cyclical,10.10858456756203,-36.784954591737296,-34.54606512682662,65.89391020448424,-50.00477702550252,1.102253648214747,118.0
WING,US,Consumer Cyclical,5.389815552142463,17.002176081532227,-35.47138138927194,63.50260752646517,-50.553890992396546,1.0563263204679152,118.0
TXRH,US,Consumer Cyclical,-2.877653024567406,19.716712447824847,1.9665478829510086,35.030066880970075,-22.776514581811913,0.09195219419901351,118.0
TROW,US,Financial Services,14.694470663871284,33.05147545826974,18.82138629064194,23.12659981114716,-14.797935589273148,0.7512388760962693,118.0
BEN,US,Financial Services,27.521365945159857,47.23224071068772,41.18928093451642,28.56295883071836,-8.55465846835587,1.2401377555389763,118.0
IVZ,US,Financial Services,7.24937347426764,12.76327287439174,29.193906698067696,35.11368006530498,-11.404106988034513,1.7899150781601072,118.0
SF,US,Financial Services,3.9962235921961797,-0.7339423412834445,-2.003724644865179,26.84017339853671,-17.017622961896993,0.8834385350970235,118.0
WBS,US,Financial Services,,,,,,,
PB,US,Financial Services,3.4467366971535185,6.670051392500986,2.0651457857211675,17.79450943475394,-9.848135045601392,0.244216618047067,118.0
FNB,US,Financial Services,4.74496650227656,13.716428377343215,4.121056264535183,21.398858583518756,-10.599009117831004,0.5568721890021284,118.0
EWBC,US,Financial Services,15.441791264826676,19.39389085073597,15.65870334745767,19.96685647340708,-8.86530578232122,0.5584711024954053,118.0
HBAN,US,Financial Services,5.319824695519282,14.130949559372375,-0.744543676040843,25.6141046039977,-16.313678299237854,0.7776266280105031,118.0
ZION,US,Financial Services,8.82504576297034,20.208564250584637,9.324702378436323,23.378264355694284,-13.966788258726748,0.49964198990095976,118.0
CFR,US,Financial Services,1.291765235311293,12.606997112871587,12.889825147552859,19.092227006760172,-8.720042393208205,0.09236576558493739,118.0
IBKR,US,Financial Services,18.7776876281482,34.96089399343929,35.42326003378544,39.90814555603345,-11.692853720425301,1.8030951936595923,118.0
SEIC,US,Financial Services,17.153613042626038,19.41928761054761,36.92140541498252,22.933267633986468,-6.324462718176383,0.25478118206168815,118.0
ALLY,US,Financial Services,9.702239337473939,14.529032836737121,-1.8263750231394815,28.771826810512373,-17.781920944923936,1.1604540395452858,118.0
LPLA,US,Financial Services,8.499334261102698,0.6205234147590222,3.188092347027105,36.12298210490074,-20.347983506168166,0.6453209099166591,118.0
HLNE,US,Financial Services,-1.730550075713555,-14.691291583921274,-7.706926456366703,45.14313739904922,-30.414725645787122,1.4501854214841265,118.0
STEP,US,Financial Services,12.104142055928024,-10.916680500244347,-1.8258659182007975,52.264443015306675,-28.4436115702158,1.6349726062145467,118.0
CBSH,US,Financial Services,4.310343695554697,16.95239537135489,12.565208844032139,16.10523575570035,-7.420620434826097,0.015148308481387132,118.0
PNFP,US,Financial Services,13.342884120443843,14.331069095085681,7.828401157720988,25.811445201924194,-13.931156736709438,0.6350460759707507,118.0
NOV,US,Energy,5.7508044748908915,-3.199728525094059,9.402421831093278,33.08902426686041,-16.708000083222853,0.32530830928273924,118.0
OII,US,Energy,4.246339322886961,8.267712354244194,30.0337454801042,45.941043696282726,-15.117353932557343,0.5247705774203629,118.0
HLX,US,Energy,,,,,,,
TRGP,US,Energy,4.569365788954416,6.461060882974312,16.92890020028912,30.49243244630706,-9.632260870470787,-0.7421886439548019,118.0
OVV,US,Energy,2.821902461522341,-10.040545286419233,1.927022390228772,37.09198217344742,-17.164140638407154,-1.0437879380187518,118.0
AR,US,Energy,-3.856616424888426,-12.53399159257713,-11.866499744193671,34.93230888916662,-18.29807834389975,-0.8250557664876947,118.0
RRC,US,Energy,-1.887231142733059,-12.750839182151896,-10.32144192679505,30.139734177846407,-19.584990834555793,-0.5760212304149178,118.0
SM,US,Energy,-0.4898818731720267,-11.709179875286734,13.485548957904857,56.430631470521455,-25.576134327235067,-1.861933404336931,118.0
CTRA,US,Energy,,,,,,,
PTEN,US,Energy,13.00660193507328,-17.64422866840346,6.114153562227487,58.53410710334377,-32.78561753515814,-1.0548705649070431,118.0
MTDR,US,Energy,-0.8585069984428761,-19.68055673743221,-15.932759719625423,45.222279194668126,-27.999154065669853,-1.0442249046884664,118.0
CHRD,US,Energy,2.154931068452126,-19.49786114479386,-1.2961956854572687,42.91620335403705,-24.77923096208189,-1.3469358039369164,118.0
DINO,US,Energy,13.916334571834298,20.230506181333684,77.10852768097712,39.664171621789855,-12.821007139244845,-0.6644996788701902,118.0
CLF,US,Basic Materials,25.119056025870922,17.38095362440535,53.21429130982405,64.36724416404422,-39.11864717127913,1.8972092578512183,119.0
ATI,US,Industrials,5.885555027376954,28.282070408335702,25.60866571816518,43.60540263504773,-20.76969524686546,1.5166145181537922,118.0
CMC,US,Industrials,11.47914648596522,0.227308047236785,5.32582860310844,38.443265758449236,-22.433878980074784,1.3335919525096118,118.0
SON,US,Consumer Cyclical,-8.71626952352118,5.809543143058882,-5.826096933405012,39.710969800208346,-20.261829998386283,0.44566219568941623,118.0
SEE,US,Consumer Cyclical,,,,,,,
HXL,US,Industrials,16.43732094550634,25.6207367459796,9.126164766580702,32.15219334123388,-21.77172346803735,0.8980855712998361,118.0
WOR,US,Industrials,4.496543995538671,5.196549759666835,15.503954922598684,32.49991873466696,-14.197436816215292,1.0497799918704247,119.0
SLVM,US,Basic Materials,3.258878919578856,-8.829389505211427,-12.315145466690524,36.94449491159964,-22.10169361379628,0.8199446210218304,118.0
TROX,US,Basic Materials,12.527229858222611,-31.96726394595153,-52.52737304858386,64.68234485243038,-59.2865146151056,1.3690131449302678,118.0
IOSP,US,Basic Materials,4.119804503286861,13.942980822743234,32.45357371506521,22.571341837552566,-6.7906195889801175,0.40031236961977973,118.0
CBT,US,Basic Materials,1.8438183493715288,14.339778786905043,4.929307529846039,34.4335805973389,-17.536701977046686,0.546542549126029,118.0
NGVT,US,Basic Materials,6.794207455149803,1.9693368940753686,0.9284058181299848,32.13277247333111,-16.501869333861872,1.1008575733679697,118.0
AVNT,US,Basic Materials,4.818937380290511,7.186926274295735,18.482624929754632,40.27831524263309,-15.33073448077461,1.3162503595134312,118.0
KWR,US,Basic Materials,18.594319216503806,34.18986431889402,32.710388187849524,34.584005602368656,-11.295159116871357,1.47838452634847,118.0
STLD,US,Basic Materials,27.230858304059204,22.580376044398044,30.311518489901946,39.00295652379426,-22.37350714164098,0.8205537493248957,118.0
RS,US,Basic Materials,19.80155191754971,22.237936151206682,26.757392648174317,27.546906363111578,-11.146673678727215,0.6345920049841983,118.0
RPM,US,Basic Materials,3.9710451884040765,14.517946500122413,3.2014564436109616,34.65344308721392,-16.180979690702678,1.3079564155296894,118.0
FMC,US,Basic Materials,-16.507042396780303,-35.60995620021558,-43.83600108985482,62.74426581041295,-44.83060374840817,0.8753744563853796,118.0
CELH,US,Consumer Defensive,-1.0270019660017393,-2.6995361919383676,-14.37793797714495,64.19735657599853,-34.66190280407504,0.6362483310899837,119.0
FLO,US,Consumer Defensive,5.825248430930952,6.438766800818652,-26.845304224322476,43.29048501037014,-33.46636834672038,0.3475205048278427,118.0
INGR,US,Consumer Defensive,-2.0663380271404352,-12.670651501117568,-13.386321889782614,18.57292561974665,-17.822127963053735,0.002484353845864962,118.0
SPB,US,Consumer Defensive,12.533908811413209,15.983323082359636,18.647941229053377,32.94082447427971,-14.553325694238096,1.1853201026749942,118.0
IPAR,US,Consumer Defensive,1.2360760023307993,32.806360430250336,31.531836556028026,33.32926192691531,-14.049010799027094,0.3965038973993875,118.0
ELF,US,Consumer Defensive,-1.0954842554232957,24.950945650106803,64.7809009658806,54.65635455905446,-29.043802946261156,0.9534589716118711,118.0
FRPT,US,Consumer Defensive,9.68013443146949,-5.084175724217688,-0.31986942175998845,52.4610138618274,-31.812950518491444,0.24259208841417645,118.0
SJM,US,Consumer Defensive,1.5711803544916414,23.149360044446034,30.856450496869627,31.243299295621892,-9.415142382700225,-0.5663784660553797,118.0
CASY,US,Consumer Cyclical,12.520509547772086,7.3381509325122884,-19.537726550544832,48.28083969769215,-36.0698757549705,-0.46832608299350575,118.0
USFD,US,Consumer Defensive,3.481255840207509,15.993767843074957,4.471133888698242,28.640399085010838,-17.06327734684678,0.0903229795324066,118.0
POST,US,Consumer Defensive,3.070177273150043,-7.515949898788077,-24.43182038555669,34.43076028416058,-29.617504983222542,-0.4606523982918239,118.0
HRL,US,Consumer Defensive,-2.0655489122078263,14.784872073582655,-7.442796581066313,32.886257713028456,-23.957598701402528,-0.16614009348810768,118.0
NRG,US,Utilities,0.752953418287805,-10.198027251984588,-33.599407052955414,52.47494720622693,-40.69544637489725,1.1537040026010208,118.0
OGE,US,Utilities,-0.3206704003118177,2.2861358810770005,-6.697682371836922,18.864107219385037,-10.490493690551904,-0.06936694309322454,118.0
