column,variable_type,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skewness,kurtosis,n_zeros,n_negative,n_unique
avg_daily_volume_30d,count,314,0,0.0,4623133.348874735,8981597.613200812,26057.695,681855.8333333334,1480020.3666666667,3685343.575,48834466.966666676,3.4221366455810176,11.942126955681628,0,0,308
avg_daily_return,continuous,314,0,0.0,0.030766055099892768,0.0940173031575296,-0.2099715808241932,-0.021327168332197624,0.032305507522565946,0.09664987214521831,0.25440402844925825,-0.1870022941204743,0.0017438728326157893,0,108,308
revenue_per_employee,count,314,0,0.0,899780.9085702198,1398800.6089115194,29612.637819604777,282603.7876589237,448792.86963480944,849529.9644054709,8120901.431471038,3.41430937774436,12.44895993718621,0,0,300
board_size,ordinal,314,0,0.0,59.21974522292994,12.297411034268306,40.0,40.0,65.0,68.75,75.0,-0.8587465337151344,-1.1036552476755759,0,0,4
earnings_growth,rate,314,0,0.0,0.36496433121019095,1.2868757343242896,-0.8836,-0.034999999999999996,0.1465,0.2675,8.893199999999984,4.960160028904078,27.188589836831184,2,86,230
employee_satisfaction,bounded_pct,314,0,0.0,50.00132275315711,14.758440592424225,24.56020501585529,37.58803298725155,50.028268176690304,62.491632458526304,74.44494266632898,-0.013063985235177085,-1.1528000271570034,0,0,257
200d_avg,count,314,0,0.0,117.30109252857727,155.9856116305022,2.844508524255136,23.156513589060985,60.40736738195117,158.47575,886.3304928000005,2.681569928016785,8.586260710651779,0,0,308
payout_ratio,ratio,314,0,0.0,0.32948204183439495,0.3994594839653058,0.0,0.0,0.209300005,0.471449985,1.7294825825000038,1.73919784499745,2.9781419458599068,93,0,213
renewable_energy_pct,bounded_pct,314,0,0.0,50.00014750953797,14.976019283007188,24.548261790179488,37.06773021505172,50.0236992794642,62.98107713628726,74.4559013189904,-0.012325968321748329,-1.2063734882643313,0,0,274
total_debt,count,314,0,0.0,17135164188.717567,64821459454.00926,2297214.1551037966,230821597.42927825,1426652480.0,4660711424.0,504321006960.6403,6.514164857952107,44.93261946296162,0,0,307
operating_cashflow,count,314,0,0.0,4759661950.691245,18629385818.223923,-18678519787.52,362381240.0,686686496.0,1314972288.0,138341821562.88004,5.931299488092912,37.63356904852954,0,11,230
price_volatility_30d,continuous,314,0,0.0,36.94697605018059,15.15104757375519,4.69119578224633,26.447923124916308,36.3855694587983,44.39280195309269,85.91876559488796,0.7677338537035275,1.0218491061839838,0,0,308
beta,continuous,314,0,0.0,0.8230364331210192,0.5305629490031963,-0.19774,0.368,0.8345,1.2285,2.0946000000000002,0.17152503735523997,-0.709868477438071,0,14,286
forward_pe,ratio,314,0,0.0,21.797869157031847,13.327488440547977,-1.0128824839999988,12.094862749999999,19.077072,27.46334975,57.555233225000016,0.9825994034164841,0.604980963215036,0,8,300
tax_transparency_score,bounded_pct,314,0,0.0,69.64193312675158,30.734270541215977,7.2119996,40.0,88.15,93.13875,100.0,-0.6697314437090858,-1.208333648024802,0,0,192
roa,rate,314,0,0.0,0.054925354073853516,0.04948527651467792,-0.12031449999999999,0.0259475005,0.056609999999999994,0.07074,0.21440319999999996,-0.02355053968501795,2.6049762486146344,0,23,233
market_cap,count,314,0,0.0,102623798269.04074,367240095471.2326,463847620.4952135,3340397488.745187,8122786560.0,19935470592.0,2707597678346.242,5.738001262643402,35.42184927294496,0,0,308
price_momentum_12m,continuous,314,0,0.0,9.851331183677503,42.17113129641323,-56.513908578084525,-17.00502122809435,5.211908537918031,26.92911901217423,173.62632196893574,1.4469288603116202,3.3672908498235206,0,138,308
exec_comp_esg_linked,bounded_pct,314,0,0.0,51.06687898089172,27.41338934659003,0.0,30.0,60.0,70.0,90.0,-0.3438174529942354,-0.9960040304194666,23,0,13
dividend_yield,rate,314,0,0.0,1.6780378980891721,1.3413319590399286,0.0905,0.67,1.2650000000000001,2.3775,7.270799999999988,1.5576652206054609,2.8745316088579527,0,0,167
net_margin,rate,314,0,0.0,10.914293988990213,15.25008783135755,-58.244960873838494,4.068431116066256,10.62919843367509,19.252883105817386,48.507530159193905,-1.1784395217450507,5.187897368944503,0,40,306
