ticker,share_based_comp_sec,share_based_comp_expense_sec,stock_repurchase_sec,dividends_paid_sec,dividends_common_sec,goodwill_sec,long_term_debt_sec,lt_debt_noncurrent_sec,effective_tax_rate_sec,public_float_sec,shares_outstanding_sec,professional_fees_sec,operating_segments_sec,reportable_segments_sec,employees_sec
WBS,56823000.0,11612000.0,593654000.0,,266830000.0,2897522000.0,739454000.0,227320000.0,0.204,9100000000.0,161226585.0,75202000.0,,,
OKTA,544000000.0,544000000.0,73000000.0,,,5487000000.0,,,0.079,16400000000.0,,,,,
QLYS,76966000.0,76966000.0,183425000.0,,,7447000.0,,,0.197,3714000000.0,35675926.0,,1.0,1.0,
VRNS,130242000.0,130242000.0,115000000.0,,,135276000.0,,,-0.112,5560000000.0,117447726.0,,,1.0,
ESTC,2500000.0,257782000.0,0.0,,,319417000.0,569729000.0,,-2.425,8300000000.0,105534887.0,,,,
DOCN,80315000.0,80315000.0,82124000.0,,,348674000.0,1295762000.0,970653000.0,-0.2545,1680000000.0,91996094.0,,,,
WK,122945000.0,122945000.0,71628000.0,,,206164000.0,175000.0,0.0,-0.167,3500000000.0,,,,,
CFLT,10773000.0,10773000.0,,,,0.0,,,-0.0006,286300000.0,,,,,
RPD,104335000.0,104335000.0,,,,575268000.0,16871000.0,16871000.0,0.225,1472401190.0,65893112.0,,,,
INCY,249346000.0,249300000.0,0.0,,,133000000.0,19094000000.0,316153000.0,0.227,11200000000.0,199014486.0,,,,
BMRN,181409000.0,181409000.0,0.0,,,196199000.0,,,0.277,6700000000.0,192323359.0,,,,
IONS,184525000.0,,334507000.0,,,521204000.0,677285000.0,1524158000.0,0.2108,10300000000.0,140854735.0,,,,
EXAS,217666000.0,217666000.0,,,,2368048000.0,23750000.0,50000000.0,-0.02,9970230370.0,190888211.0,,,,
NTRA,354404000.0,354404000.0,,,,141070000.0,282945000.0,,0.2235,21830000000.0,141731250.0,,,1.0,
RVMD,16073000.0,33700000.0,,,,23413000.0,,,-0.005,30957182.0,13887772.0,,,2.0,
STE,57397000.0,,211321000.0,,219875000.0,4095678000.0,1918701000.0,1918701000.0,0.232,23874000000.0,98372310.0,,,,3700.0
TFX,,,,,,,,,,,,,,,
MTZ,,,,,,,,,,,,,,,
EME,,200000.0,586258000.0,,45023000.0,1412414000.0,0.0,,0.261,17258000000.0,44532566.0,,,,25000.0
