ticker,esgScore,environmentScore,socialScore,governanceScore,totalEsg,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,heldPercentInstitutions,heldPercentInsiders,numberOfAnalystOpinions,recommendationMean,targetMeanPrice,payoutRatio,profitMargins,returnOnEquity
IVZ,,,,,,7499.0,9.0,4.0,2.0,4.0,4.0,0.94043,0.00686,11.0,2.25,29.68182,0.5646,-0.04417,-0.01219
SF,,,,,,8900.0,1.0,5.0,3.0,3.0,3.0,0.88835996,0.03071,8.0,2.25,92.45875,0.31350002,0.12452,0.11725
WBS,,,,,,4498.0,1.0,4.0,2.0,4.0,2.0,0.91982,0.00957,12.0,2.92857,74.41667,0.2712,0.37479,0.10767999
PB,,,,,,3941.0,2.0,7.0,2.0,9.0,5.0,0.81418,0.03963,14.0,2.4,77.78571,0.4091,0.43435,0.072119996
FNB,,,,,,4128.0,1.0,5.0,2.0,3.0,2.0,0.87035006,0.01492,8.0,1.375,20.0625,0.3077,0.33651,0.08652
EWBC,,,,,,3350.0,1.0,5.0,1.0,1.0,1.0,0.94803,0.0090499995,16.0,1.75,130.3125,0.2521,0.49135,0.15945
CMA,,,,,,,,,,,,,,,,,,,
HBAN,,,,,,20424.0,3.0,8.0,3.0,9.0,8.0,0.72288,0.00805,20.0,1.66667,20.125,0.44599998,0.28744,0.10095
ZION,,,,,,9195.0,4.0,4.0,2.0,1.0,2.0,0.82023,0.015,22.0,2.45455,65.40909,0.2928,0.27136,0.13515
CFR,,,,,,6008.0,2.0,3.0,2.0,2.0,2.0,0.88948,0.06106,15.0,2.93333,144.33333,0.3982,0.296,0.15311
IBKR,,,,,,3182.0,3.0,10.0,9.0,10.0,10.0,0.88947,0.02803,9.0,1.55556,80.66667,0.1363,0.15847999,0.23507999
SEIC,,,,,,4997.0,2.0,5.0,4.0,4.0,4.0,0.74534,0.16802,7.0,1.875,102.42857,0.17940001,0.31136,0.28957
ALLY,,,,,,10300.0,2.0,2.0,10.0,2.0,4.0,0.85130996,0.10186,17.0,1.66667,52.12353,0.50630003,0.11554,0.05796
LPLA,,,,,,10099.0,2.0,1.0,2.0,3.0,1.0,1.03406,0.00582,13.0,1.86667,443.53845,0.1099,0.05203,0.20858
HLNE,,,,,,760.0,4.0,10.0,10.0,10.0,10.0,0.98403,0.106000006,7.0,1.71429,168.57143,0.3761,0.30587998,0.31697
STEP,,,,,,1275.0,6.0,10.0,7.0,4.0,8.0,1.01237,0.05585,8.0,1.5,73.75,1.6721001,-0.30656,-0.65119004
CBSH,,,,,,4577.0,2.0,4.0,5.0,7.0,5.0,0.69241,0.023929998,8.0,2.75,59.375,0.2626,0.33082,0.1597
PNFP,,,,,,3709.0,2.0,5.0,3.0,1.0,2.0,0.47962,0.012920001,19.0,1.84211,113.60526,0.119899996,0.32957,0.09526
NOV,,,,,,31605.0,8.0,5.0,1.0,3.0,3.0,1.0608001,0.00885,20.0,2.47619,20.1,1.3077,0.01658,0.02369
OII,,,,,,11100.0,3.0,6.0,1.0,6.0,4.0,1.0331501,0.020450002,4.0,,31.5,0.0,0.12706,0.39373
HLX,,,,,,2212.0,5.0,2.0,2.0,5.0,2.0,0.8892,0.06784,4.0,2.0,11.75,0.0,0.02387,0.01989
CHX,,,,,,,,,,,,,,,,,,,
TRGP,,,,,,3570.0,4.0,8.0,4.0,9.0,9.0,0.95685995,0.01393,21.0,1.40909,257.33334,0.44169998,0.11293,0.51381
OVV,,,,,,1465.0,3.0,1.0,1.0,1.0,1.0,0.84946,0.0044299997,23.0,1.68,66.86957,0.25100002,0.14337,0.1154
AR,,,,,,632.0,6.0,5.0,5.0,7.0,5.0,0.87103,0.06629,21.0,1.61905,48.2381,0.0,0.12344,0.09035
RRC,,,,,,564.0,2.0,1.0,1.0,1.0,1.0,1.02593,0.01198,24.0,2.70833,45.08333,0.1314,0.22016001,0.15942
SM,,,,,,1241.0,2.0,3.0,2.0,1.0,1.0,0.48944,0.009330001,13.0,2.14286,35.19231,0.17729999,0.21406999,0.14325
CTRA,,,,,,1075.0,6.0,6.0,8.0,3.0,5.0,0.9647,0.01502,22.0,1.81818,37.31818,0.39290002,0.2456,0.12275
PTEN,,,,,,7900.0,3.0,1.0,1.0,3.0,1.0,1.14759,0.027560001,14.0,,9.0,2.1333,-0.0194,-0.02777
MTDR,,,,,,483.0,4.0,7.0,1.0,6.0,4.0,0.92946,0.07147,19.0,1.55,68.52632,0.2155,0.20763999,0.1503
CHRD,,,,,,676.0,2.0,1.0,1.0,1.0,1.0,0.96940005,0.00774,18.0,1.5,152.33333,7.027,0.0097,0.0053
DINO,,,,,,5165.0,5.0,1.0,3.0,1.0,1.0,0.90897006,0.07492,15.0,2.25,63.93333,0.6494,0.02155,0.06303
CLF,,,,,,25000.0,3.0,5.0,5.0,4.0,4.0,0.81515,0.0135699995,9.0,2.83333,12.41111,0.0,-0.07942,-0.21576999
ATI,,,,,,7600.0,1.0,3.0,1.0,6.0,2.0,0.95505,0.010299999,9.0,1.11111,161.44444,0.0,0.08813,0.21621999
CMC,,,,,,12690.0,2.0,2.0,2.0,4.0,2.0,0.94217,0.010290001,10.0,1.90909,78.1,0.1611,0.06024,0.12002
SON,,,,,,22000.0,3.0,5.0,3.0,2.0,2.0,0.88947,0.0103400005,9.0,1.90909,64.22222,0.35580003,0.13340001,0.19974001
SEE,,,,,,16100.0,5.0,1.0,3.0,1.0,1.0,0.96007,0.00265,5.0,2.57143,46.0,0.2676,0.09431,0.4739
HXL,,,,,,5563.0,2.0,3.0,4.0,2.0,2.0,1.17909,0.00897,15.0,2.35294,88.86667,0.4964,0.05776,0.07874
WOR,,,,,,3400.0,3.0,7.0,7.0,9.0,7.0,0.52693003,0.37888,5.0,2.25,65.4,2.1818,0.08422,0.11394
SLVM,,,,,,6500.0,4.0,2.0,3.0,1.0,1.0,1.02657,0.01129,4.0,1.66667,61.0,0.5556,0.039389998,0.14562
TROX,,,,,,5700.0,2.0,5.0,2.0,3.0,2.0,0.74184,0.25538,8.0,2.5,6.9375,0.1558,-0.16218,-0.29198
IOSP,,,,,,2450.0,1.0,3.0,3.0,7.0,4.0,1.00053,0.013350001,3.0,,99.33333,0.3662,0.06558,0.09149
CBT,,,,,,4064.0,3.0,1.0,4.0,5.0,3.0,1.01257,0.01329,5.0,,77.8,0.31120002,0.086219996,0.21825
NGVT,,,,,,1500.0,1.0,2.0,1.0,2.0,1.0,1.08624,0.00813,4.0,,79.25,0.0,-0.14310999,-1.3365899
AVNT,,,,,,9000.0,5.0,1.0,4.0,7.0,4.0,1.034,0.008119999,7.0,,48.57143,1.2162,0.025120001,0.03545
KWR,,,,,,4700.0,2.0,5.0,3.0,5.0,4.0,0.93554,0.21926,4.0,,183.0,0.3561,-0.00132,-0.00176
STLD,,,,,,14400.0,3.0,6.0,5.0,3.0,4.0,0.8657,0.06567,11.0,1.81818,188.24818,0.25030002,0.06523,0.13284001
RS,,,,,,15700.0,5.0,3.0,2.0,1.0,1.0,0.84559995,0.00426,8.0,2.5,326.75,0.3433,0.05173,0.10293
RPM,,,,,,17800.0,3.0,4.0,3.0,6.0,4.0,0.83609,0.01286,14.0,1.42857,126.57143,0.39880002,0.087919995,0.22830999
FMC,,,,,,5500.0,2.0,4.0,10.0,3.0,6.0,0.89886004,0.00874,17.0,2.55556,16.64706,2.2308,-0.6457,-0.66613
CELH,,,,,,1497.0,8.0,7.0,4.0,2.0,4.0,0.64645,0.28441,20.0,1.54545,67.45,0.0,0.042940002,0.05185
FLO,,,,,,10300.0,3.0,4.0,1.0,1.0,1.0,0.84195,0.079730004,6.0,2.83333,10.33333,2.4563,0.01595,0.06178
INGR,,,,,,11200.0,6.0,4.0,1.0,3.0,2.0,0.97088,0.00856,7.0,,127.42857,0.2898,0.10098,0.18101
SPB,,,,,,3000.0,4.0,4.0,2.0,2.0,2.0,1.16437,0.04442,7.0,2.0,85.28571,0.44439998,0.03762,0.053460002
IPAR,,,,,,662.0,10.0,10.0,9.0,4.0,10.0,0.64339995,0.43635,5.0,1.4,111.2,0.6107,0.113120005,0.2034
ELF,,,,,,633.0,3.0,6.0,5.0,8.0,6.0,1.02639,0.02241,15.0,1.70588,107.0,0.0,-0.0023100001,-0.00291
FRPT,,,,,,1288.0,7.0,2.0,4.0,1.0,2.0,1.19644,0.02317,16.0,1.66667,86.0,0.0,0.12626,0.12291
SJM,,,,,,8000.0,5.0,4.0,7.0,8.0,7.0,0.95063,0.02232,15.0,2.26316,122.86667,0.8606,-0.14068,-0.20683001
CASY,,,,,,23338.0,2.0,2.0,1.0,2.0,1.0,0.89596003,0.00471,16.0,1.78947,739.0,0.1269,0.03828,0.17882
USFD,,,,,,30000.0,2.0,2.0,3.0,2.0,2.0,1.07331,0.0051200003,15.0,1.5625,109.53333,0.0,0.01715,0.15303001
POST,,,,,,13180.0,4.0,5.0,3.0,3.0,3.0,1.01109,0.14567,7.0,1.57143,127.0,0.0,0.03819,0.08672
HRL,,,,,,20000.0,9.0,3.0,7.0,7.0,7.0,0.92016,0.00463,8.0,,27.625,1.3061999,0.0403,0.061160002
NRG,,,,,,16702.0,4.0,4.0,3.0,5.0,3.0,0.86292,0.044320002,17.0,1.64706,201.94118,0.4389,0.02813,0.41548002
OGE,,,,,,2248.0,5.0,5.0,3.0,3.0,3.0,0.8024,0.00429,11.0,2.76923,48.22727,0.7295,0.14438,0.09788
PNW,,,,,,6610.0,6.0,8.0,6.0,6.0,7.0,1.04118,0.00281,13.0,2.58824,103.61538,0.7119,0.11545999,0.09059
ATO,,,,,,5487.0,9.0,7.0,6.0,7.0,7.0,0.9981,0.00398,10.0,2.76923,183.3,0.4707,0.25667998,0.09237
EVRG,,,,,,4691.0,7.0,3.0,1.0,4.0,2.0,0.9413,0.00184,11.0,2.07692,88.04545,0.737,0.14352,0.08569
AES,,,,,,8336.0,10.0,8.0,8.0,4.0,8.0,0.8806,0.0053399997,9.0,2.63636,15.33333,0.5373,0.07439,0.01954
MDU,,,,,,2096.0,3.0,1.0,3.0,1.0,1.0,0.97393,0.00458,6.0,,22.0,0.5806,0.10154,0.07007
AVA,,,,,,,1.0,3.0,1.0,3.0,1.0,0.88386,0.00873,6.0,2.85714,40.66667,0.8235,0.09827,0.07283
CMS,,,,,,8350.0,3.0,6.0,1.0,4.0,3.0,0.97826,0.0057,13.0,2.25,79.76923,0.6156,0.12542,0.108559996
DTE,,,,,,9650.0,7.0,8.0,3.0,3.0,5.0,0.79219,0.00402,13.0,1.94118,155.03847,0.6309,0.09245,0.12177
WEC,,,,,,7151.0,5.0,5.0,3.0,4.0,3.0,0.84558,0.0015199999,17.0,2.31579,123.08824,0.7422,0.15893,0.11576
INVH,,,,,,1725.0,3.0,1.0,9.0,8.0,5.0,1.0481,0.00327,21.0,2.25,31.0,1.2188,0.21632999,0.060939997
ELS,,,,,,3700.0,9.0,5.0,3.0,5.0,5.0,1.12744,0.0075700004,18.0,1.88889,69.86111,1.0249,0.25131,0.22099
AMH,,,,,,1598.0,1.0,1.0,2.0,3.0,1.0,0.92764,0.07783,20.0,2.26087,34.475,1.0169001,0.24482,0.066
SUI,,,,,,3607.0,9.0,4.0,1.0,5.0,4.0,1.0167099,0.01186,18.0,1.83333,143.38889,4.5282,0.59221,8.0000005e-05
KRC,,,,,,241.0,6.0,2.0,5.0,6.0,4.0,1.30853,0.012209999,14.0,2.94118,35.85714,0.931,0.24816,0.05382
HIW,,,,,,315.0,3.0,2.0,2.0,7.0,3.0,1.02872,0.01312,9.0,2.6,26.33333,1.3792999,0.19742,0.06684
NNN,,,,,,85.0,1.0,1.0,1.0,1.0,1.0,0.94284,0.00866,15.0,2.88235,45.23333,1.1401,0.42083,0.088879995
STAG,,,,,,93.0,3.0,1.0,1.0,4.0,1.0,0.93203,0.0013,11.0,2.54545,41.54545,1.0206,0.32362,0.07757
CUBE,,,,,,3121.0,2.0,1.0,2.0,5.0,2.0,0.98914003,0.00847,15.0,2.41176,42.53333,1.4315,0.29654,0.11552
REXR,,,,,,256.0,2.0,1.0,6.0,6.0,3.0,1.1011,0.00358,16.0,2.52941,41.25,2.0,0.21136999,0.025020001
LAMR,,,,,,3500.0,9.0,9.0,5.0,10.0,10.0,0.99199,0.02201,5.0,,139.8,1.0745,0.25907,0.57224
IART,,,,,,4427.0,2.0,3.0,2.0,1.0,1.0,0.98027,0.13932,7.0,2.9,15.57143,0.0,-0.31584,-0.39902002
ZI,,,,,,,,,,,,,,,,,,,
MTCH,,,,,,2200.0,2.0,2.0,3.0,3.0,2.0,1.1033,0.00685,17.0,,36.47059,0.3193,0.17591,
MSGS,,,,,,514.0,4.0,10.0,6.0,10.0,10.0,0.95203,0.037639998,5.0,,348.6,0.0,-0.01546,
TTWO,,,,,,12928.0,4.0,8.0,2.0,4.0,4.0,0.95761,0.01364,28.0,1.25,276.8107,0.0,-0.60449004,-0.86217004
EA,,,,,,14500.0,8.0,4.0,4.0,1.0,2.0,0.95172995,0.00207,17.0,2.80952,205.58824,0.2846,0.09307,0.10027
LYV,,,,,,17700.0,10.0,9.0,8.0,9.0,9.0,0.83384,0.32626,23.0,1.43478,183.52174,0.0,0.01968,0.36701
WMG,,,,,,5500.0,4.0,8.0,8.0,10.0,9.0,1.05653,0.0074199997,17.0,1.64706,36.05882,1.2982001,0.044320002,0.39843
